22 Jul 2017 16:45:49 : LimitlessMc, botchat, Wertfuzzy77#0274, ;lookup theOnlyJuan
22 Jul 2017 16:45:51 : LimitlessMc, botchat, Botfuzzy77#2209, 
22 Jul 2017 16:45:51 : LimitlessMc, botchat, Botfuzzy77#2209, 
22 Jul 2017 16:45:55 : LimitlessMc, botchat, Wertfuzzy77#0274, there we go
22 Jul 2017 16:46:01 : LimitlessMc, botchat, theOnlyJuan#9357, Its fine for now. Its just for fun anyways
22 Jul 2017 16:46:07 : LimitlessMc, botchat, Wertfuzzy77#0274, ;mine
22 Jul 2017 16:46:10 : LimitlessMc, botchat, Botfuzzy77#2209, 
22 Jul 2017 16:46:12 : LimitlessMc, botchat, Botfuzzy77#2209, 
22 Jul 2017 16:46:15 : LimitlessMc, botchat, AlphaBit#3869, ;lookup AlphaBit
22 Jul 2017 16:46:18 : LimitlessMc, botchat, Botfuzzy77#2209, 
22 Jul 2017 16:46:19 : LimitlessMc, botchat, Botfuzzy77#2209, 
22 Jul 2017 16:46:31 : LimitlessMc, botchat, AlphaBit#3869, exdee
22 Jul 2017 16:46:33 : LimitlessMc, botchat, AlphaBit#3869, ;mine
22 Jul 2017 16:46:36 : LimitlessMc, botchat, Botfuzzy77#2209, 
22 Jul 2017 16:46:38 : LimitlessMc, botchat, Botfuzzy77#2209, 
22 Jul 2017 16:47:17 : LimitlessMc, mainchat, ruleroftri#6648, @jjtwilefc that was sarcasm
22 Jul 2017 16:47:25 : LimitlessMc, botchat, Wertfuzzy77#0274, ;lv
22 Jul 2017 16:47:30 : LimitlessMc, botchat, Botfuzzy77#2209, 
22 Jul 2017 16:47:30 : LimitlessMc, botchat, Botfuzzy77#2209, 
22 Jul 2017 16:47:38 : LimitlessMc, botchat, Wertfuzzy77#0274, just synced real and local bot
22 Jul 2017 16:47:41 : LimitlessMc, mainchat, jjtwilefc#7374, >:D
22 Jul 2017 16:47:43 : LimitlessMc, botchat, Wertfuzzy77#0274, so levels and stuff were pulled to local
22 Jul 2017 16:47:55 : LimitlessMc, botchat, Wertfuzzy77#0274, ;mine
22 Jul 2017 16:47:56 : LimitlessMc, botchat, Botfuzzy77#2209, You don't have enough XP (need 5,931)
22 Jul 2017 16:47:57 : LimitlessMc, botchat, Wertfuzzy77#0274, die
22 Jul 2017 16:47:58 : LimitlessMc, mainchat, ruleroftri#6648, I wonder if I'll get my staff role back
22 Jul 2017 16:47:58 : LimitlessMc, botchat, Wertfuzzy77#0274, ;train
22 Jul 2017 16:48:00 : LimitlessMc, botchat, Botfuzzy77#2209, 
22 Jul 2017 16:48:03 : LimitlessMc, botchat, Botfuzzy77#2209, 
22 Jul 2017 16:48:08 : LimitlessMc, botchat, Wertfuzzy77#0274, o ya
22 Jul 2017 16:48:12 : LimitlessMc, botchat, Wertfuzzy77#0274, training is broke on local
