22 Jul 2017 23:47:45 : OblivionEvolved, bots, Wertfuzzy77#0274, ;mine
22 Jul 2017 23:47:46 : OblivionEvolved, bots, Botfuzzy77#2209, 
22 Jul 2017 23:47:46 : OblivionEvolved, bots, Botfuzzy77#2209, 
22 Jul 2017 23:47:53 : OblivionEvolved, bots, Wertfuzzy77#0274, ;mine
22 Jul 2017 23:47:54 : OblivionEvolved, bots, Botfuzzy77#2209, 
22 Jul 2017 23:47:54 : OblivionEvolved, bots, Botfuzzy77#2209, 
22 Jul 2017 23:47:57 : OblivionEvolved, bots, Wertfuzzy77#0274, ;lv
22 Jul 2017 23:48:00 : OblivionEvolved, bots, Wertfuzzy77#0274, ;mine
22 Jul 2017 23:48:01 : OblivionEvolved, bots, Botfuzzy77#2209, 
22 Jul 2017 23:48:01 : OblivionEvolved, bots, Botfuzzy77#2209, 
22 Jul 2017 23:48:01 : OblivionEvolved, bots, Botfuzzy77#2209, 
22 Jul 2017 23:48:01 : OblivionEvolved, bots, Botfuzzy77#2209, 
22 Jul 2017 23:48:07 : OblivionEvolved, bots, Wertfuzzy77#0274, ;ranking
22 Jul 2017 23:48:07 : OblivionEvolved, bots, Botfuzzy77#2209, 
22 Jul 2017 23:48:07 : OblivionEvolved, bots, Botfuzzy77#2209, 
22 Jul 2017 23:48:08 : OblivionEvolved, bots, Wertfuzzy77#0274, ;mine
22 Jul 2017 23:48:08 : OblivionEvolved, bots, Botfuzzy77#2209, 
22 Jul 2017 23:48:09 : OblivionEvolved, bots, Botfuzzy77#2209, 
22 Jul 2017 23:48:09 : OblivionEvolved, bots, Wertfuzzy77#0274, ;pbs
22 Jul 2017 23:48:09 : OblivionEvolved, bots, Botfuzzy77#2209, Boss has not been Revealed!
Please use ;pokebattle <moves> medium to fight and reveal the boss.
22 Jul 2017 23:48:12 : OblivionEvolved, bots, Botfuzzy77#2209, Boss has not been Revealed!
Please use ;pokebattle <moves> medium to fight and reveal the boss.
