23 Jul 2017 00:52:24 : LimitlessMc, botchat, Wertfuzzy77#0274, told you I needed to restart her xD
23 Jul 2017 00:52:33 : LimitlessMc, botchat, Wertfuzzy77#0274, and shes back
23 Jul 2017 00:52:38 : LimitlessMc, botchat, Crystal4209#4698, ;join
23 Jul 2017 00:52:38 : LimitlessMc, botchat, Botfuzzy77#2209, Connected channel!
23 Jul 2017 00:53:11 : LimitlessMc, botchat, Crystal4209#4698, ;search fairy tail dragon force
23 Jul 2017 00:53:13 : LimitlessMc, botchat, Botfuzzy77#2209, Added Fairy Tail - Dragon Force Ost to the queue
23 Jul 2017 00:53:13 : LimitlessMc, botchat, Botfuzzy77#2209, https://www.youtube.com/watch?v=KQwxKpu-HfA
23 Jul 2017 00:53:16 : LimitlessMc, botchat, Crystal4209#4698, ;recommend
23 Jul 2017 00:53:17 : LimitlessMc, botchat, Botfuzzy77#2209, Recommend Songs to play: True
23 Jul 2017 00:53:30 : LimitlessMc, botchat, Wertfuzzy77#0274, ;songs
23 Jul 2017 00:53:32 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 00:53:32 : LimitlessMc, botchat, theOnlyJuan#9357, ;cd
23 Jul 2017 00:53:35 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 00:53:41 : LimitlessMc, botchat, theOnlyJuan#9357, ;train
23 Jul 2017 00:53:43 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 00:53:45 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 00:53:50 : LimitlessMc, botchat, Wertfuzzy77#0274, ;train
23 Jul 2017 00:53:52 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 00:53:55 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 00:53:55 : LimitlessMc, botchat, theOnlyJuan#9357, ;pbs
23 Jul 2017 00:53:57 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 00:53:58 : LimitlessMc, botchat, Wertfuzzy77#0274, ;cd
23 Jul 2017 00:54:01 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 00:54:06 : LimitlessMc, botchat, Wertfuzzy77#0274, ;mine
23 Jul 2017 00:54:07 : LimitlessMc, botchat, theOnlyJuan#9357, ;pbt ffffffffff
23 Jul 2017 00:54:09 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 00:54:11 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 00:54:13 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 00:54:15 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 00:54:19 : LimitlessMc, botchat, Crystal4209#4698, ;youtube https://www.youtube.com/watch?v=tdrGjixAtKU&list=PL25C0B3510ECE5532
23 Jul 2017 00:54:27 : LimitlessMc, botchat, theOnlyJuan#9357, ;mine
23 Jul 2017 00:54:28 : LimitlessMc, botchat, Crystal4209#4698, gah
23 Jul 2017 00:54:30 : LimitlessMc, botchat, Botfuzzy77#2209, 
