23 Jul 2017 00:59:01 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
23 Jul 2017 00:59:02 : LimitlessMc, botchat, Botfuzzy77#2209, Connected channel!
23 Jul 2017 00:59:08 : LimitlessMc, botchat, Wertfuzzy77#0274, ;yplaylist https://www.youtube.com/playlist?list=PL25C0B3510ECE5532
23 Jul 2017 00:59:23 : LimitlessMc, botchat, Wertfuzzy77#0274, @Crystal4209 try ;clear
23 Jul 2017 00:59:27 : LimitlessMc, botchat, Crystal4209#4698, ;clear
23 Jul 2017 00:59:27 : LimitlessMc, botchat, Botfuzzy77#2209, You do not have permission to do this.
23 Jul 2017 00:59:30 : LimitlessMc, botchat, Botfuzzy77#2209, Finished Adding songs from playlist
23 Jul 2017 00:59:31 : LimitlessMc, botchat, Wertfuzzy77#0274, now try
23 Jul 2017 00:59:31 : LimitlessMc, botchat, Crystal4209#4698, blah
23 Jul 2017 00:59:37 : LimitlessMc, botchat, Crystal4209#4698, ;clear
23 Jul 2017 00:59:37 : LimitlessMc, botchat, Botfuzzy77#2209, Cleared Queue!
23 Jul 2017 00:59:39 : LimitlessMc, botchat, Wertfuzzy77#0274, cool
23 Jul 2017 00:59:40 : LimitlessMc, botchat, Crystal4209#4698, i see
23 Jul 2017 00:59:48 : LimitlessMc, botchat, Crystal4209#4698, well i gotta eat
23 Jul 2017 00:59:51 : LimitlessMc, botchat, Wertfuzzy77#0274, same
23 Jul 2017 00:59:53 : LimitlessMc, botchat, Wertfuzzy77#0274, ;afk dinner
23 Jul 2017 00:59:53 : LimitlessMc, botchat, Botfuzzy77#2209, Wertfuzzy77 is now AFK for reason:
**dinner**
23 Jul 2017 00:59:59 : LimitlessMc, botchat, Crystal4209#4698, ;afk fooood
23 Jul 2017 00:59:59 : LimitlessMc, botchat, Botfuzzy77#2209, Crystal4209 is now AFK for reason:
**fooood**
23 Jul 2017 01:05:16 : LimitlessMc, botchat, Wertfuzzy77#0274, ;forceplay https://www.youtube.com/watch?v=3F-a7NttLzQ
23 Jul 2017 01:05:27 : OblivionEvolved, bots, Wertfuzzy77#0274, ;mine
23 Jul 2017 01:05:27 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:05:27 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:05:31 : OblivionEvolved, bots, Wertfuzzy77#0274, ;mine
23 Jul 2017 01:05:31 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:05:31 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:05:34 : OblivionEvolved, bots, Wertfuzzy77#0274, ;mine
23 Jul 2017 01:05:34 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:05:34 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:05:36 : OblivionEvolved, bots, Wertfuzzy77#0274, ;mine
23 Jul 2017 01:05:37 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:05:37 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:06:38 : LimitlessMc, botchat, Crystal4209#4698, ..
23 Jul 2017 01:06:40 : LimitlessMc, botchat, Crystal4209#4698, :L
23 Jul 2017 01:07:04 : Alone Server, bot_chat, Crystal4209#4698, ;join
23 Jul 2017 01:07:06 : Alone Server, bot_chat, Botfuzzy77#2209, Connected channel!
23 Jul 2017 01:07:14 : Alone Server, bot_chat, Crystal4209#4698, ;yplaylist https://www.youtube.com/playlist?list=PL25C0B3510ECE5532
23 Jul 2017 01:07:25 : Alone Server, bot_chat, Crystal4209#4698, ;pb nnnnnnnnnnnnnnn
23 Jul 2017 01:07:26 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:07:26 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:07:35 : OblivionEvolved, bots, Wertfuzzy77#0274, ;cd
23 Jul 2017 01:07:35 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:07:35 : Alone Server, bot_chat, Botfuzzy77#2209, Finished Adding songs from playlist
23 Jul 2017 01:07:37 : OblivionEvolved, bots, Wertfuzzy77#0274, ;mine
23 Jul 2017 01:07:37 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:07:37 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:07:39 : OblivionEvolved, bots, Wertfuzzy77#0274, ;lv
23 Jul 2017 01:07:42 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:07:46 : OblivionEvolved, bots, Wertfuzzy77#0274, ;mine
23 Jul 2017 01:07:46 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:07:46 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:07:48 : OblivionEvolved, bots, Wertfuzzy77#0274, ;lv
23 Jul 2017 01:07:51 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:07:55 : OblivionEvolved, bots, Wertfuzzy77#0274, ;mine
23 Jul 2017 01:07:55 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:07:55 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:07:59 : OblivionEvolved, bots, Wertfuzzy77#0274, ;mine
23 Jul 2017 01:07:59 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:07:59 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:08:00 : OblivionEvolved, bots, Wertfuzzy77#0274, ;mine
