23 Jul 2017 01:34:16 : Alone Server, bot_chat, Crystal4209#4698, ;pb ddddddddddddddd
23 Jul 2017 01:34:17 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:34:17 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:34:22 : Alone Server, bot_chat, Crystal4209#4698, ;join
23 Jul 2017 01:34:24 : Alone Server, bot_chat, Botfuzzy77#2209, Connected channel!
23 Jul 2017 01:34:38 : Alone Server, bot_chat, Crystal4209#4698, ;search fairy tail dragpn force
23 Jul 2017 01:34:40 : Alone Server, bot_chat, Botfuzzy77#2209, Added Fairy Tail - Dragon Force Ost to the queue
23 Jul 2017 01:34:40 : Alone Server, bot_chat, Botfuzzy77#2209, https://www.youtube.com/watch?v=KQwxKpu-HfA
23 Jul 2017 01:34:44 : Alone Server, bot_chat, Crystal4209#4698, ;recommend
23 Jul 2017 01:34:44 : Alone Server, bot_chat, Botfuzzy77#2209, Recommend Songs to play: True
23 Jul 2017 01:36:35 : Alone Server, bot_chat, Crystal4209#4698, ;pb iiiiiiiiiiiiiii
23 Jul 2017 01:36:35 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:36:35 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:36:47 : OblivionEvolved, bots, Wertfuzzy77#0274, ;mine
23 Jul 2017 01:36:47 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:36:49 : OblivionEvolved, bots, Wertfuzzy77#0274, ;cd
23 Jul 2017 01:36:50 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:36:53 : OblivionEvolved, bots, Wertfuzzy77#0274, ;train
23 Jul 2017 01:36:53 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:36:53 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:36:57 : OblivionEvolved, bots, Wertfuzzy77#0274, ;cd
23 Jul 2017 01:36:57 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:36:59 : OblivionEvolved, bots, Wertfuzzy77#0274, ;pbs
23 Jul 2017 01:36:59 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:37:01 : OblivionEvolved, bots, Wertfuzzy77#0274, ;lv
23 Jul 2017 01:37:03 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:38:30 : Alone Server, bot_chat, Crystal4209#4698, ;pb nnnnnnnnnnnnnnn
23 Jul 2017 01:38:30 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:38:30 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:38:44 : OblivionEvolved, bots, Wertfuzzy77#0274, ;;cd
23 Jul 2017 01:38:45 : OblivionEvolved, bots, Wertfuzzy77#0274, ;cd
23 Jul 2017 01:38:46 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:38:52 : OblivionEvolved, bots, Wertfuzzy77#0274, ;pb IIIIIIII
23 Jul 2017 01:38:52 : OblivionEvolved, bots, Botfuzzy77#2209, 
