23 Jul 2017 15:12:36 : LimitlessMc, botchat, Wertfuzzy77#0274, @AlphaBit fixed da bug
23 Jul 2017 15:12:39 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
23 Jul 2017 15:12:40 : LimitlessMc, botchat, Botfuzzy77#2209, Connected channel!
23 Jul 2017 15:12:43 : LimitlessMc, botchat, Wertfuzzy77#0274, ;yplaylist https://www.youtube.com/playlist?list=PLdakRkpsmtJHASl749igX8CUBGe0-DSH2
23 Jul 2017 15:13:00 : LimitlessMc, botchat, Wertfuzzy77#0274, ;recent
23 Jul 2017 15:13:01 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 15:14:27 : LimitlessMc, botchat, Botfuzzy77#2209, Finished Adding songs from playlist
23 Jul 2017 15:15:51 : LimitlessMc, botchat, Wertfuzzy77#0274, ;reconnect
23 Jul 2017 15:15:56 : LimitlessMc, botchat, Wertfuzzy77#0274, ;cycle
23 Jul 2017 15:15:56 : LimitlessMc, botchat, Botfuzzy77#2209, Cycle Mode: True
23 Jul 2017 15:15:57 : LimitlessMc, botchat, Wertfuzzy77#0274, ;shuffle
23 Jul 2017 15:15:58 : LimitlessMc, botchat, Botfuzzy77#2209, Shuffled songs!
23 Jul 2017 15:15:59 : LimitlessMc, botchat, Wertfuzzy77#0274, ;songs
23 Jul 2017 15:16:01 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 15:16:15 : LimitlessMc, botchat, Wertfuzzy77#0274, ;pbs
23 Jul 2017 15:16:16 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 15:16:24 : OblivionEvolved, bots, Wertfuzzy77#0274, ;pbs
23 Jul 2017 15:16:24 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 15:16:26 : OblivionEvolved, bots, Wertfuzzy77#0274, ;lv
23 Jul 2017 15:16:28 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 15:16:33 : OblivionEvolved, bots, Wertfuzzy77#0274, @StubbyMuffins gamble doesnt exist anymore
23 Jul 2017 15:16:37 : OblivionEvolved, bots, Wertfuzzy77#0274, ;pb GGGGGGGG
23 Jul 2017 15:16:37 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 15:16:38 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 15:16:42 : OblivionEvolved, bots, Wertfuzzy77#0274, ;cd
23 Jul 2017 15:16:42 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 15:16:45 : OblivionEvolved, bots, Wertfuzzy77#0274, ;train
23 Jul 2017 15:16:45 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 15:16:45 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 15:16:49 : OblivionEvolved, bots, Wertfuzzy77#0274, ;mine
23 Jul 2017 15:16:49 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 15:16:52 : OblivionEvolved, bots, Wertfuzzy77#0274, ;-;
23 Jul 2017 15:16:56 : OblivionEvolved, bots, Wertfuzzy77#0274, ;mine
23 Jul 2017 15:16:56 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 15:26:36 : LimitlessMc, botchat, AlphaBit#3869, ayy
23 Jul 2017 15:26:36 : LimitlessMc, botchat, Botfuzzy77#2209, Lmao
23 Jul 2017 15:39:24 : LimitlessMc, botchat, Wertfuzzy77#0274, I just balanced ;mine 😄
23 Jul 2017 15:39:28 : LimitlessMc, botchat, Wertfuzzy77#0274, it was wayyyyy low xD
23 Jul 2017 15:39:32 : LimitlessMc, botchat, Wertfuzzy77#0274, was too diff
23 Jul 2017 15:40:54 : LimitlessMc, botchat, Wertfuzzy77#0274, the dip started at like lv 20, so anyone after lv 20 on average would lose XP
23 Jul 2017 15:41:04 : LimitlessMc, botchat, Wertfuzzy77#0274, I just tweaked it to be lv 45
23 Jul 2017 15:44:54 : LimitlessMc, botchat, Wertfuzzy77#0274, ;cd
23 Jul 2017 15:44:56 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 15:45:06 : LimitlessMc, botchat, Wertfuzzy77#0274, ;recent
23 Jul 2017 15:45:09 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 15:45:12 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
23 Jul 2017 15:45:12 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
