29 Jul 2017 13:30:02 : Proton Gaming Network, infinityevolved, Pikadude1228#0109, No, unexpected error when launching, I ended up deleting the mod pack and reinstalling it.
29 Jul 2017 13:32:51 : Proton Gaming Network, staff_general, Pikadude1228#0109, There it showed a difference of like 10 mods but when I launched it told me I had 6 or 7 duplicates
29 Jul 2017 13:36:17 : GreenHillGang, general, Wertfuzzy77#0274, Wassssssssss up @The Jester
29 Jul 2017 13:36:18 : GreenHillGang, general, Botfuzzy77#2209, Yes.
29 Jul 2017 13:37:43 : GreenHillGang, general, Wertfuzzy77#0274, ;join
29 Jul 2017 13:37:43 : GreenHillGang, general, Botfuzzy77#2209, Connected channel!
29 Jul 2017 13:38:42 : GreenHillGang, general, Wertfuzzy77#0274, ;forceplay https://youtu.be/3F-a7NttLzQ
29 Jul 2017 13:43:45 : LimitlessMc, botchat, Wertfuzzy77#0274, She's back up
29 Jul 2017 13:43:50 : LimitlessMc, botchat, Wertfuzzy77#0274, But I'm on vacation
29 Jul 2017 13:43:52 : LimitlessMc, botchat, Wertfuzzy77#0274, So....
29 Jul 2017 13:44:03 : LimitlessMc, botchat, Wertfuzzy77#0274, I can't do a whole lot remotely to patch ;prestige
29 Jul 2017 13:44:28 : LimitlessMc, botchat, Wertfuzzy77#0274, So gonna have to wait until I get back home
29 Jul 2017 13:45:03 : LimitlessMc, botchat, Wertfuzzy77#0274, ;afk Vacation, be back on the next Sunday
29 Jul 2017 13:45:03 : LimitlessMc, botchat, Botfuzzy77#2209, Wertfuzzy77 is now AFK for reason:
**Vacation, be back on the next Sunday**
29 Jul 2017 13:46:16 : GreenHillGang, general, Wertfuzzy77#0274, ;mine
29 Jul 2017 13:46:16 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 13:46:20 : GreenHillGang, general, Wertfuzzy77#0274, ;train
29 Jul 2017 13:46:20 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 13:46:20 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 13:46:24 : GreenHillGang, general, Wertfuzzy77#0274, ;lv
29 Jul 2017 13:46:26 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 13:46:27 : GreenHillGang, general, Wertfuzzy77#0274, ;pbs
29 Jul 2017 13:46:27 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 13:46:41 : GreenHillGang, general, Wertfuzzy77#0274, ;pb dddddddd
29 Jul 2017 13:46:41 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 13:46:41 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 13:50:21 : GreenHillGang, general, Wertfuzzy77#0274, ;loop
