08 Aug 2017 01:19:17 : LimitlessMc, mainchat, TherminatorX#6644, Tinkers was already in the pack
08 Aug 2017 01:19:23 : LimitlessMc, botchat, Wertfuzzy77#0274, ;lookup TherminatorX
08 Aug 2017 01:19:25 : LimitlessMc, botchat, Botfuzzy77#2209, 
08 Aug 2017 01:19:46 : LimitlessMc, botchat, Wertfuzzy77#0274, @TherminatorX try prestiging?
08 Aug 2017 01:21:29 : LimitlessMc, botchat, TherminatorX#6644, But doesn't it nuke the xp that goes over the level?
08 Aug 2017 01:22:17 : LimitlessMc, botchat, Wertfuzzy77#0274, nope
08 Aug 2017 01:22:27 : LimitlessMc, botchat, TherminatorX#6644, If so, that's about 16mil xp gonw poof
08 Aug 2017 01:22:34 : LimitlessMc, botchat, Wertfuzzy77#0274, it should keep it
08 Aug 2017 01:22:45 : LimitlessMc, botchat, TherminatorX#6644, Alright..,
08 Aug 2017 01:22:46 : LimitlessMc, botchat, Wertfuzzy77#0274, you might end up at like level 90 ish xD
08 Aug 2017 01:22:55 : LimitlessMc, botchat, TherminatorX#6644, ;prestige
08 Aug 2017 01:22:56 : LimitlessMc, botchat, Botfuzzy77#2209, 
08 Aug 2017 01:23:10 : LimitlessMc, botchat, TherminatorX#6644, ;prestige confirm
08 Aug 2017 01:23:23 : LimitlessMc, botchat, TherminatorX#6644, ...
08 Aug 2017 01:23:31 : LimitlessMc, botchat, TherminatorX#6644, ;lv
08 Aug 2017 01:23:34 : LimitlessMc, botchat, Botfuzzy77#2209, 
08 Aug 2017 01:23:44 : LimitlessMc, botchat, Wertfuzzy77#0274, o
08 Aug 2017 01:23:47 : LimitlessMc, botchat, Wertfuzzy77#0274, I messed up
08 Aug 2017 01:23:50 : LimitlessMc, botchat, Wertfuzzy77#0274, one sec 😛
08 Aug 2017 01:24:31 : LimitlessMc, botchat, TherminatorX#6644, Dangit Wert XD
08 Aug 2017 01:25:14 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
08 Aug 2017 01:25:14 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
