08 Aug 2017 01:37:10 : LimitlessMc, botchat, Wertfuzzy77#0274, cleared everyone's
08 Aug 2017 01:37:19 : LimitlessMc, botchat, Wertfuzzy77#0274, because they were with the previous damage system
08 Aug 2017 01:37:23 : LimitlessMc, botchat, Wertfuzzy77#0274, so fresh restart
08 Aug 2017 01:37:28 : LimitlessMc, botchat, Wertfuzzy77#0274, ;lv
08 Aug 2017 01:37:31 : LimitlessMc, botchat, Botfuzzy77#2209, 
08 Aug 2017 01:37:33 : LimitlessMc, botchat, Wertfuzzy77#0274, ok, try now
08 Aug 2017 01:37:40 : LimitlessMc, botchat, Star#0288, ;train
08 Aug 2017 01:37:41 : LimitlessMc, botchat, Botfuzzy77#2209, 
08 Aug 2017 01:37:42 : LimitlessMc, botchat, Botfuzzy77#2209, 
08 Aug 2017 01:37:44 : LimitlessMc, botchat, Star#0288, ;mine
08 Aug 2017 01:37:46 : LimitlessMc, botchat, Botfuzzy77#2209, 
08 Aug 2017 01:37:52 : LimitlessMc, botchat, TherminatorX#6644, ;lv
08 Aug 2017 01:37:56 : LimitlessMc, botchat, Botfuzzy77#2209, 
08 Aug 2017 01:38:02 : LimitlessMc, botchat, TherminatorX#6644, ;prestige
08 Aug 2017 01:38:04 : LimitlessMc, botchat, Botfuzzy77#2209, 
08 Aug 2017 01:38:13 : LimitlessMc, botchat, TherminatorX#6644, ;prestige confirm
08 Aug 2017 01:38:14 : LimitlessMc, botchat, Botfuzzy77#2209, 
08 Aug 2017 01:38:20 : LimitlessMc, botchat, TherminatorX#6644, ;lv
08 Aug 2017 01:38:23 : LimitlessMc, botchat, Botfuzzy77#2209, 
08 Aug 2017 01:38:29 : LimitlessMc, botchat, TherminatorX#6644, ...
08 Aug 2017 01:38:29 : LimitlessMc, botchat, Wertfuzzy77#0274, hmmmmmmmmmmmmmmmmmmmmmmmmmm
08 Aug 2017 01:38:30 : LimitlessMc, botchat, Wertfuzzy77#0274, ;ranking
08 Aug 2017 01:38:31 : LimitlessMc, botchat, Botfuzzy77#2209, 
08 Aug 2017 01:38:39 : LimitlessMc, botchat, Wertfuzzy77#0274, didnt even give you the prestuge
08 Aug 2017 01:38:41 : LimitlessMc, botchat, Wertfuzzy77#0274, prestige *
08 Aug 2017 01:38:47 : LimitlessMc, botchat, Wertfuzzy77#0274, but also didnt error
08 Aug 2017 01:38:49 : LimitlessMc, botchat, Wertfuzzy77#0274, hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
08 Aug 2017 01:39:05 : LimitlessMc, botchat, TherminatorX#6644, hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
08 Aug 2017 01:39:33 : LimitlessMc, botchat, TherminatorX#6644, ;youtube dark souls hmm
08 Aug 2017 01:39:33 : LimitlessMc, botchat, Botfuzzy77#2209, The Bot isnt connected in this server!
08 Aug 2017 01:40:08 : Achievement Heaven, general, A Fluffy Fox#4730, Hewwo people in voice chat
08 Aug 2017 01:40:29 : Shiny Edits, shiny-suggestions, dragonbro0803#0985, 
08 Aug 2017 01:40:33 : LimitlessMc, botchat, Wertfuzzy77#0274, o wait
08 Aug 2017 01:40:35 : Shiny Edits, shiny-suggestions, dragonbro0803#0985, Fixed the head thingy
08 Aug 2017 01:40:49 : Shiny Edits, shiny-suggestions, dragonbro0803#0985, 
08 Aug 2017 01:40:56 : Shiny Edits, shiny-suggestions, dragonbro0803#0985, free to use as you wish :>
08 Aug 2017 01:41:16 : Achievement Heaven, general, A Fluffy Fox#4730, Lol
08 Aug 2017 01:41:17 : LimitlessMc, botchat, t0mm1x#9209, ;train
08 Aug 2017 01:41:18 : LimitlessMc, botchat, Botfuzzy77#2209, 
08 Aug 2017 01:41:20 : LimitlessMc, botchat, Botfuzzy77#2209, 
08 Aug 2017 01:41:21 : LimitlessMc, botchat, Botfuzzy77#2209, 
08 Aug 2017 01:41:24 : LimitlessMc, botchat, t0mm1x#9209, ;mine
08 Aug 2017 01:41:25 : LimitlessMc, botchat, Botfuzzy77#2209, 
08 Aug 2017 01:42:00 : LimitlessMc, botchat, Wertfuzzy77#0274, ;lookup t0mm1x
08 Aug 2017 01:42:02 : LimitlessMc, botchat, Botfuzzy77#2209, 
08 Aug 2017 01:42:18 : LimitlessMc, botchat, Wertfuzzy77#0274, ew
08 Aug 2017 01:42:18 : LimitlessMc, botchat, Wertfuzzy77#0274, get a background
08 Aug 2017 01:42:20 : LimitlessMc, botchat, TherminatorX#6644, https://m.youtube.com/watch?v=DP2VcKCGVyk
08 Aug 2017 01:42:22 : Achievement Heaven, general, A Fluffy Fox#4730, #BlameMaddog
08 Aug 2017 01:42:35 : LimitlessMc, botchat, Wertfuzzy77#0274, same
08 Aug 2017 01:43:18 : Achievement Heaven, general, A Fluffy Fox#4730, #MaddogBrokeIt
08 Aug 2017 01:44:05 : LimitlessMc, botchat, TherminatorX#6644, Well, let me know if you figure something out
08 Aug 2017 01:44:17 : LimitlessMc, botchat, Wertfuzzy77#0274, I think prestige has been broken for a while xD
08 Aug 2017 01:44:21 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
08 Aug 2017 01:44:22 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
