14 Aug 2017 19:21:22 : new server IDEA, general, 10_bit_sloth_YT#8480, @Botfuzzy77 kiss
14 Aug 2017 19:21:25 : new server IDEA, general, Botfuzzy77#2209, Yes.
14 Aug 2017 19:21:31 : new server IDEA, general, 10_bit_sloth_YT#8480, ;kiss
14 Aug 2017 19:21:31 : new server IDEA, general, Botfuzzy77#2209, :kissing_heart: *10_bit_sloth_YT Kissed * :kissing_heart:
14 Aug 2017 19:21:42 : Kernal Cannon Official, pokemon, FunkyMonkey#0890, ;train
14 Aug 2017 19:21:42 : Kernal Cannon Official, pokemon, Botfuzzy77#2209, 
14 Aug 2017 19:21:42 : Kernal Cannon Official, pokemon, Botfuzzy77#2209, 
14 Aug 2017 19:21:51 : new server IDEA, general, 10_bit_sloth_YT#8480, ;loves
14 Aug 2017 19:21:51 : new server IDEA, general, Botfuzzy77#2209, :heart: *10_bit_sloth_YT Loves * :heart:
14 Aug 2017 19:21:54 : LimitlessMc, botchat, TherminatorX#6644, ;train
14 Aug 2017 19:21:55 : LimitlessMc, botchat, Botfuzzy77#2209, 
14 Aug 2017 19:21:56 : LimitlessMc, botchat, Botfuzzy77#2209, 
14 Aug 2017 19:22:01 : new server IDEA, general, connellk#0523, i want to feel loved tooo
14 Aug 2017 19:22:02 : LimitlessMc, botchat, TherminatorX#6644, ;lv
14 Aug 2017 19:22:05 : LimitlessMc, botchat, Botfuzzy77#2209, 
14 Aug 2017 19:22:07 : new server IDEA, general, 10_bit_sloth_YT#8480, do ;love
14 Aug 2017 19:22:13 : new server IDEA, general, 10_bit_sloth_YT#8480, or ;kiss
14 Aug 2017 19:22:20 : new server IDEA, general, 10_bit_sloth_YT#8480, ;love
14 Aug 2017 19:22:26 : new server IDEA, general, 10_bit_sloth_YT#8480, ;kiss
14 Aug 2017 19:22:26 : new server IDEA, general, Botfuzzy77#2209, :kissing_heart: *10_bit_sloth_YT Kissed * :kissing_heart:
14 Aug 2017 19:22:32 : new server IDEA, general, 10_bit_sloth_YT#8480, ;loves
14 Aug 2017 19:22:32 : new server IDEA, general, Botfuzzy77#2209, :heart: *10_bit_sloth_YT Loves * :heart:
14 Aug 2017 19:22:43 : new server IDEA, general, connellk#0523, ;love
14 Aug 2017 19:22:53 : new server IDEA, general, connellk#0523, i feel alone again
14 Aug 2017 19:22:58 : new server IDEA, general, 10_bit_sloth_YT#8480, its ;loves
14 Aug 2017 19:23:02 : new server IDEA, general, connellk#0523, ;love
14 Aug 2017 19:23:03 : new server IDEA, general, 10_bit_sloth_YT#8480, ;loves
14 Aug 2017 19:23:03 : new server IDEA, general, Botfuzzy77#2209, :heart: *10_bit_sloth_YT Loves * :heart:
14 Aug 2017 19:23:10 : new server IDEA, general, 10_bit_sloth_YT#8480, ITS ;loves
14 Aug 2017 19:23:10 : new server IDEA, general, connellk#0523, ;loves
14 Aug 2017 19:23:10 : new server IDEA, general, Botfuzzy77#2209, :heart: *connellk Loves * :heart:
14 Aug 2017 19:23:26 : new server IDEA, general, connellk#0523, whos do i s loves
14 Aug 2017 19:23:38 : new server IDEA, general, 10_bit_sloth_YT#8480, ;loves botfuzzy
14 Aug 2017 19:23:38 : new server IDEA, general, Botfuzzy77#2209, :heart: *10_bit_sloth_YT Loves botfuzzy* :heart:
14 Aug 2017 19:23:55 : new server IDEA, general, 10_bit_sloth_YT#8480, ;kiss botfuzzy
14 Aug 2017 19:23:55 : new server IDEA, general, Botfuzzy77#2209, :kissing_heart: *10_bit_sloth_YT Kissed botfuzzy* :kissing_heart:
14 Aug 2017 19:24:00 : new server IDEA, general, connellk#0523, can we get bot barney
14 Aug 2017 19:24:06 : new server IDEA, general, 10_bit_sloth_YT#8480, ;barney
14 Aug 2017 19:24:17 : new server IDEA, general, 10_bit_sloth_YT#8480, @Botfuzzy77 barney
14 Aug 2017 19:24:18 : new server IDEA, general, Botfuzzy77#2209, Baryey the dinosaur?
14 Aug 2017 19:24:27 : new server IDEA, general, connellk#0523, i want to be loved by a dinsaesurs rax
14 Aug 2017 19:24:29 : new server IDEA, general, 10_bit_sloth_YT#8480, @Botfuzzy77 YYAAASSS
14 Aug 2017 19:24:32 : new server IDEA, general, Botfuzzy77#2209, The Oogieloves?
14 Aug 2017 19:24:37 : new server IDEA, general, 10_bit_sloth_YT#8480, wtf
14 Aug 2017 19:24:47 : new server IDEA, general, 10_bit_sloth_YT#8480, @Botfuzzy77 what am i doing
