16 Aug 2017 20:13:33 : PokeIslands, general, dragonbro0803#0985, how much longer
16 Aug 2017 20:13:33 : Botfuzzy77 Living Quarters, general, Wertfuzzy77#0274, starting back up
16 Aug 2017 20:14:09 : PokeIslands, general, KiritoSanPlays#2208, doing the world right now
16 Aug 2017 20:14:13 : Achievement Heaven, ah-general, happydoglizardman#3072, lol
16 Aug 2017 20:14:31 : PokeIslands, general, KiritoSanPlays#2208, i do a complete server backup 😃
16 Aug 2017 20:15:03 : Proton Gaming Network, bot_commands, Macomplete#2338, ;server
16 Aug 2017 20:15:09 : PokeIslands, general, dragonbro0803#0985, kk
16 Aug 2017 20:15:22 : PokeIslands, general, dragonbro0803#0985, 75 percent
16 Aug 2017 20:15:27 : PokeIslands, general, dragonbro0803#0985, jesus my upload speed is slow
16 Aug 2017 20:15:48 : PokeIslands, general, dragonbro0803#0985, Its been 7 minutes >.>
16 Aug 2017 20:15:55 : PokeIslands, general, dragonbro0803#0985, It only took me 3 to download >.>
16 Aug 2017 20:16:25 : PokeIslands, general, KiritoSanPlays#2208, lol
16 Aug 2017 20:16:33 : PokeIslands, general, KiritoSanPlays#2208, yeh upload speed is shittier then download
