17 Aug 2017 04:21:58 : PokeIslands, staff, ⚓Ƹ>⸨Brady⸩<Ʒ⚓#8237, but
17 Aug 2017 04:21:59 : PokeIslands, staff, ⚓Ƹ>⸨Brady⸩<Ʒ⚓#8237, but
17 Aug 2017 04:22:00 : PokeIslands, staff, ⚓Ƹ>⸨Brady⸩<Ʒ⚓#8237, but
17 Aug 2017 04:22:06 : PokeIslands, staff, ⚓Ƹ>⸨Brady⸩<Ʒ⚓#8237, Im a transexual coffee mug
17 Aug 2017 04:22:06 : PokeIslands, staff, dragonbro0803#0985, As a bestie
17 Aug 2017 04:22:09 : PokeIslands, staff, KiritoSanPlays#2208, fresh o vacodo
17 Aug 2017 04:22:14 : PokeIslands, staff, dragonbro0803#0985, Brady too gay for me
17 Aug 2017 04:22:16 : PokeIslands, staff, ⚓Ƹ>⸨Brady⸩<Ʒ⚓#8237, besties 😄
17 Aug 2017 04:22:20 : PokeIslands, staff, KiritoSanPlays#2208, >_>
17 Aug 2017 04:22:21 : PokeIslands, staff, dragonbro0803#0985, I mean
17 Aug 2017 04:22:22 : PokeIslands, staff, ⚓Ƹ>⸨Brady⸩<Ʒ⚓#8237, Im not gay
17 Aug 2017 04:22:26 : PokeIslands, staff, ⚓Ƹ>⸨Brady⸩<Ʒ⚓#8237, Im trans lesbian
17 Aug 2017 04:22:29 : PokeIslands, staff, KiritoSanPlays#2208, lol
17 Aug 2017 04:22:34 : PokeIslands, staff, dragonbro0803#0985, LOL
17 Aug 2017 04:22:39 : PokeIslands, staff, dragonbro0803#0985, What does that even..
17 Aug 2017 04:22:44 : PokeIslands, staff, KiritoSanPlays#2208, i am lesbian 😃
17 Aug 2017 04:22:46 : PokeIslands, general, ⚓Ƹ>⸨Brady⸩<Ʒ⚓#8237, but if it was already burnt
17 Aug 2017 04:22:52 : PokeIslands, general, ⚓Ƹ>⸨Brady⸩<Ʒ⚓#8237, wouldn't the cannon have like
17 Aug 2017 04:22:54 : PokeIslands, general, ⚓Ƹ>⸨Brady⸩<Ʒ⚓#8237, already fired?
17 Aug 2017 04:23:02 : PokeIslands, general, KiritoSanPlays#2208, was close tho
17 Aug 2017 04:23:14 : PokeIslands, general, ⚓Ƹ>⸨Brady⸩<Ʒ⚓#8237, why were u gonna fire a cannon in the first place
17 Aug 2017 04:23:21 : PokeIslands, staff, KiritoSanPlays#2208, i only luv girls which makes me lesbian 😃
17 Aug 2017 04:23:22 : PokeIslands, staff, dragonbro0803#0985, So you're a guy, that likes girls, but are transitioning into a girl right?
17 Aug 2017 04:23:24 : PokeIslands, general, ⚓Ƹ>⸨Brady⸩<Ʒ⚓#8237, was wittle kirito sama angwy
17 Aug 2017 04:23:40 : Legacy Craft, help-channel, Sleeping Quill#1038, @Doctor_Phatzo ducky I have a problem
17 Aug 2017 04:23:41 : PokeIslands, staff, dragonbro0803#0985, Is that what a trans lesbian is
17 Aug 2017 04:23:44 : Legacy Craft, help-channel, Sleeping Quill#1038, https://twitter.com/chrisnebeker/status/898035958188130304
17 Aug 2017 04:23:50 : PokeIslands, staff, ⚓Ƹ>⸨Brady⸩<Ʒ⚓#8237, Im a transgender quintisexual lesbian
17 Aug 2017 04:23:54 : PokeIslands, staff, KiritoSanPlays#2208, i nver heard of translesbian in the first place
17 Aug 2017 04:23:56 : PokeIslands, staff, KiritoSanPlays#2208, >_<
17 Aug 2017 04:24:01 : PokeIslands, staff, dragonbro0803#0985, Too complicated
17 Aug 2017 04:24:10 : PokeIslands, general, KiritoSanPlays#2208, euhm he kinda hit me at the wrong time
17 Aug 2017 04:24:22 : PokeIslands, staff, KiritoSanPlays#2208, wait lemme do something 😄
