18 Aug 2017 16:05:02 : PokeIslands, general, KiritoSanPlays#2208, //help
18 Aug 2017 16:05:02 : PokeIslands, general, Arraybot#7471, 
18 Aug 2017 16:05:03 : PokeIslands, general, PvPCraft#0625, @KiritoSanPlays Help can be found at https://bot.pvpcraft.ca/docs
18 Aug 2017 16:05:03 : PokeIslands, general, Botfuzzy77#2209, KiritoSanPlays is afk for reason:
**playing cs:go and thinking about a bug fix for crate key's given by /kit starter**
18 Aug 2017 16:12:19 : PokeIslands, general, Wertfuzzy77#0274, Restarting ber
18 Aug 2017 16:12:19 : PokeIslands, general, KiritoSanPlays#2208, there she is 😄
18 Aug 2017 16:12:19 : PokeIslands, general, Wertfuzzy77#0274, Her *
18 Aug 2017 16:12:19 : PokeIslands, general, KiritoSanPlays#2208, our most loved BotFuzzy 😄
18 Aug 2017 16:12:19 : PokeIslands, general, dragonbro0803#0985, @Botfuzzy77 Hello
18 Aug 2017 16:12:20 : PokeIslands, general, dragonbro0803#0985, Botfuzzy > Rem
18 Aug 2017 16:12:20 : PokeIslands, general, Wertfuzzy77#0274, It's having trouble starting up...
18 Aug 2017 16:12:20 : PokeIslands, general, dragonbro0803#0985, o.O
18 Aug 2017 16:12:20 : PokeIslands, general, KiritoSanPlays#2208, RIP your code :p
