29 Aug 2017 03:52:06 : music for pixelkindom, modded-chat, Pixelkindom#9075, for both or 1
29 Aug 2017 03:52:11 : music for pixelkindom, modded-chat, Zen#5809, oh yeah...
29 Aug 2017 03:52:17 : PokeIslands, general, KiritoSanPlays#2208, can you post these in #images please
29 Aug 2017 03:52:17 : music for pixelkindom, modded-chat, Zen#5809, the 2 channels
29 Aug 2017 03:52:19 : music for pixelkindom, modded-chat, Zen#5809, ;-;
29 Aug 2017 03:52:27 : music for pixelkindom, modded-chat, Wertfuzzy77#0274, 2 channels?
29 Aug 2017 03:52:31 : music for pixelkindom, modded-chat, Wertfuzzy77#0274, gimme the second ID
29 Aug 2017 03:53:00 : music for pixelkindom, modded-chat, Pixelkindom#9075, int he config
29 Aug 2017 03:53:11 : music for pixelkindom, modded-chat, Zen#5809, in the config there are 2 areas that say channel
29 Aug 2017 03:53:12 : music for pixelkindom, modded-chat, Pixelkindom#9075, idk i am trying both
29 Aug 2017 03:54:02 : music for pixelkindom, modded-chat, Wertfuzzy77#0274, only change the 2nd one
29 Aug 2017 03:54:46 : PokeIslands, announcements, KiritoSanPlays#2208, @​everyone i gues you noticed a point block on the site 😃 now instead of Points or Vote Points i named it to Tournament Points which means you are now able to win Tournament Points which can be used to buy items and so on from the donation store 😃 for those who havn't been on the server yet you can allways acces it by typing  //ip
29 Aug 2017 04:00:16 : music for pixelkindom, modded-chat, Pixelkindom#9075, @Wertfuzzy77  take it and fixed it please
29 Aug 2017 04:00:34 : music for pixelkindom, modded-chat, Wertfuzzy77#0274, xD
29 Aug 2017 04:01:06 : music for pixelkindom, modded-chat, Wertfuzzy77#0274, 
29 Aug 2017 04:01:17 : music for pixelkindom, modded-chat, Wertfuzzy77#0274, I am a god at JSON files 😛
29 Aug 2017 04:02:42 : Botfuzzy77 Living Quarters, bot-commands, Wertfuzzy77#0274, ;reloh
29 Aug 2017 04:02:44 : Botfuzzy77 Living Quarters, bot-commands, Wertfuzzy77#0274, ;relog
