31 Aug 2017 02:15:21 : PokeIslands, general, 🅳🅰🅽🅽🆈#3904, I'm back
31 Aug 2017 02:15:36 : Proton Gaming Network, bot_commands, Wertfuzzy77#0274, @MisterChamp I think I fixed her
31 Aug 2017 02:15:38 : Proton Gaming Network, bot_commands, Wertfuzzy77#0274, ;join
31 Aug 2017 02:15:39 : Proton Gaming Network, bot_commands, Botfuzzy77#2209, Connected channel!
31 Aug 2017 02:15:48 : PokeIslands, general, ༺༒༻꧁꧁╲⎝⧹⎛⦗ Brady⦘⎞⧸⎠╱꧂꧂༺༒༻#8237, Okay
31 Aug 2017 02:15:48 : Proton Gaming Network, bot_commands, Wertfuzzy77#0274, ;search hotel california
31 Aug 2017 02:15:53 : PokeIslands, general, ༺༒༻꧁꧁╲⎝⧹⎛⦗ Brady⦘⎞⧸⎠╱꧂꧂༺༒༻#8237, So I can't open mc rn
31 Aug 2017 02:15:57 : Proton Gaming Network, bot_commands, Wertfuzzy77#0274, hopefully....
31 Aug 2017 02:16:11 : Proton Gaming Network, bot_commands, Wertfuzzy77#0274, or not
31 Aug 2017 02:16:13 : PokeIslands, general, ༺༒༻꧁꧁╲⎝⧹⎛⦗ Brady⦘⎞⧸⎠╱꧂꧂༺༒༻#8237, Cuz I have two monitors, and it's permenantly on the second one
31 Aug 2017 02:16:16 : PokeIslands, general, ༺༒༻꧁꧁╲⎝⧹⎛⦗ Brady⦘⎞⧸⎠╱꧂꧂༺༒༻#8237, Well the launcher is
31 Aug 2017 02:16:27 : PokeIslands, general, ༺༒༻꧁꧁╲⎝⧹⎛⦗ Brady⦘⎞⧸⎠╱꧂꧂༺༒༻#8237, So I should be able to get on on loke
31 Aug 2017 02:16:28 : PokeIslands, general, ༺༒༻꧁꧁╲⎝⧹⎛⦗ Brady⦘⎞⧸⎠╱꧂꧂༺༒༻#8237, Like*
31 Aug 2017 02:16:33 : PokeIslands, general, ༺༒༻꧁꧁╲⎝⧹⎛⦗ Brady⦘⎞⧸⎠╱꧂꧂༺༒༻#8237, Saturday or something
31 Aug 2017 02:16:38 : Proton Gaming Network, bot_commands, Botfuzzy77#2209, Sorry, couldnt find anything :(
31 Aug 2017 02:17:08 : Proton Gaming Network, bot_commands, Wertfuzzy77#0274, bet
31 Aug 2017 02:17:25 : Botfuzzy77 Living Quarters, bot-commands, Wertfuzzy77#0274, ;;relog
31 Aug 2017 02:17:37 : Botfuzzy77 Living Quarters, general, AlphaBees#3869, <>
31 Aug 2017 02:17:40 : Botfuzzy77 Living Quarters, general, Botfuzzy77#2209, **Bakemonogatari**
Link: https://myanimelist.net/anime/5081
**Episodes**: 15
**Status**: Finished Airing
**Rating**: 8.37 (by 310,025 users)
31 Aug 2017 02:18:07 : Botfuzzy77 Living Quarters, general, AlphaBees#3869, Toothbrush episode pla
31 Aug 2017 02:18:09 : Botfuzzy77 Living Quarters, general, AlphaBees#3869, Pls
31 Aug 2017 02:18:12 : Botfuzzy77 Living Quarters, general, Wertfuzzy77#0274, wat
31 Aug 2017 02:18:12 : Pixelkindom, discord-to-minecraft, Lycrysic Server Bot#1200, **[Server]** World saved.
31 Aug 2017 02:18:18 : Botfuzzy77 Living Quarters, bot-commands, Wertfuzzy77#0274, ;;join
