02 Oct 2017 02:33:32 : ur local people, general, AznGamer#1494, Epic games.com
02 Oct 2017 02:33:32 : LimitlessMc, botchat, MattRuc#5481, ;pb nnnnnnnn
02 Oct 2017 02:33:32 : LimitlessMc, botchat, MattRuc#5481, ;pb boss
02 Oct 2017 02:33:32 : LimitlessMc, botchat, MattRuc#5481, ;boss
02 Oct 2017 02:33:33 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Oct 2017 02:33:34 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Oct 2017 02:33:34 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Oct 2017 02:43:25 : ur local people, general, AznGamer#1494, @btorso what did you put for man vs society
02 Oct 2017 02:45:17 : ur local people, general, BToro#6675, Didn’t start yet
02 Oct 2017 02:50:22 : ur local people, general, AznGamer#1494, I finished
02 Oct 2017 02:50:33 : ur local people, general, BToro#6675, Nooooooooioooooo
02 Oct 2017 02:50:38 : ur local people, general, AznGamer#1494, Wat
02 Oct 2017 02:50:46 : ur local people, general, BToro#6675, Was gonna do it with u
02 Oct 2017 02:58:07 : ur local people, general, BToro#6675, Bb comeback
02 Oct 2017 02:58:12 : ur local people, general, BToro#6675, It’s gonna be alrighttttttt
02 Oct 2017 02:58:31 : ur local people, general, BToro#6675, Do you put quotes?
02 Oct 2017 02:58:35 : ur local people, general, BToro#6675, @ur local short asian
02 Oct 2017 03:24:40 : Legacy Craft, memes, Dormadon#5007, your house got raided
02 Oct 2017 03:28:23 : LimitlessMc, memes, Jay113355#4999, https://cdn.discordapp.com/attachments/243382098608521227/364176473914867714/FB_IMG_1506896350717.jpg
02 Oct 2017 03:49:29 : BetterThanGamers, mainchat, JustinOPGamer#9138, le
02 Oct 2017 03:49:44 : BetterThanGamers, mainchat, JustinOPGamer#9138, Imma go home N go to bed
02 Oct 2017 03:49:55 : BetterThanGamers, mainchat, JustinOPGamer#9138, ;gif go home and go to bed
02 Oct 2017 03:49:56 : BetterThanGamers, mainchat, Botfuzzy77#2209, https://giphy.com/gifs/justin-bieber-imagine-gif-pN2SzaFWQHdkc
02 Oct 2017 03:52:31 : Ultralight Memes, ultralight-memes, benis supremus#4310, https://www.youtube.com/watch?v=rqlqHcQQq04
02 Oct 2017 04:10:05 : Legacy Craft, general, subzero69#9175, @🐯TIGEᖇ🐅 @Kangaroo1212  both of u guys bite me lmao
02 Oct 2017 04:10:48 : Legacy Craft, general, subzero69#9175, @🐱Kat🐈 no only i am great kat lol
02 Oct 2017 04:13:54 : PokeIslands, general, Legate#1692, Still got a ways to go until my town is complete
02 Oct 2017 04:14:39 : LimitlessMc, botchat, Bakafish#8693, ;train
02 Oct 2017 04:14:39 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Oct 2017 04:14:40 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Oct 2017 04:27:12 : Ultralight Memes, the_velvet_room, Guy#9635, ;join
02 Oct 2017 04:27:13 : Ultralight Memes, the_velvet_room, Botfuzzy77#2209, Connected channel!
02 Oct 2017 04:45:22 : Ultralight Memes, the_velvet_room, MoMolion#8439, ;youtube https://www.youtube.com/watch?v=Gs069dndIYk
02 Oct 2017 04:45:25 : Ultralight Memes, the_velvet_room, Botfuzzy77#2209, Added Earth, Wind & Fire - September to the queue
02 Oct 2017 04:45:54 : Ultralight Memes, the_velvet_room, Guy#9635, ;search wake me up when september ends
02 Oct 2017 04:45:56 : Ultralight Memes, the_velvet_room, Botfuzzy77#2209, Added Green Day-Wake Me Up When September Ends lyrics to the queue
02 Oct 2017 04:45:56 : Ultralight Memes, the_velvet_room, Botfuzzy77#2209, https://www.youtube.com/watch?v=jVO8sUrs-Pw
02 Oct 2017 04:55:52 : Ultralight Memes, the_velvet_room, Guy#9635, ;search rise and shine ursine
02 Oct 2017 04:58:01 : Ultralight Memes, the_velvet_room, MoMolion#8439, ;youtube https://www.youtube.com/watch?v=vp864CH5gqc
