14 Nov 2017 06:15:01 : ¥~[Silicone Dreams]~¥, nsfw-tavern, Hewkiimahri1219#5364, Hi Blake, Hi Swag. how are you?
14 Nov 2017 06:15:10 : LimitlessMc, botchat, Wertfuzzy77#0274, ;train
14 Nov 2017 06:15:10 : LimitlessMc, botchat, Botfuzzy77#2209, 
14 Nov 2017 06:15:11 : LimitlessMc, botchat, Botfuzzy77#2209, 
14 Nov 2017 06:15:19 : LimitlessMc, botchat, Wertfuzzy77#0274, ;pbs
14 Nov 2017 06:15:19 : ¥~[Silicone Dreams]~¥, nsfw-tavern, Hewkiimahri1219#5364, it’s 12:15am for me rn
14 Nov 2017 06:15:19 : LimitlessMc, botchat, Botfuzzy77#2209, 
14 Nov 2017 06:15:22 : ¥~[Silicone Dreams]~¥, nsfw-tavern, end me.png#9560, *fistbimps Hewkii*  Sup fam
14 Nov 2017 06:15:25 : LimitlessMc, botchat, Wertfuzzy77#0274, ;pb
14 Nov 2017 06:15:25 : LimitlessMc, botchat, Botfuzzy77#2209, 
14 Nov 2017 06:15:29 : LimitlessMc, botchat, Wertfuzzy77#0274, ;lv
14 Nov 2017 06:15:33 : ¥~[Silicone Dreams]~¥, nsfw-tavern, Hewkiimahri1219#5364, sup
14 Nov 2017 06:15:34 : LimitlessMc, botchat, Botfuzzy77#2209, 
14 Nov 2017 06:15:40 : LimitlessMc, botchat, Wertfuzzy77#0274, um
14 Nov 2017 06:15:48 : ¥~[Silicone Dreams]~¥, vc-text-chat, Kotaru The Waifu King#1539, someone should play Marshmallo Alone
14 Nov 2017 06:15:48 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
14 Nov 2017 06:15:49 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
