15 Nov 2017 23:18:21 : ¥~[Silicone Dreams]~¥, tavern, ᴮ⁴ᴹ |Exodus-出埃及记#3448, @xTajima  ur pfp is so satisfying to look at o-o
15 Nov 2017 23:18:28 : LimitlessMc, botchat, Wertfuzzy77#0274, @Botfuzzy77 welcome back
15 Nov 2017 23:18:28 : LimitlessMc, botchat, Botfuzzy77#2209, Yes.
15 Nov 2017 23:18:30 : ¥~[Silicone Dreams]~¥, tavern, xTajima#3543, Ty ❤
15 Nov 2017 23:18:35 : LimitlessMc, botchat, Wertfuzzy77#0274, ;ranking
15 Nov 2017 23:18:35 : LimitlessMc, botchat, Botfuzzy77#2209, 
15 Nov 2017 23:18:36 : ¥~[Silicone Dreams]~¥, tavern, Baddie#9999, @AlaskaBoy09
15 Nov 2017 23:18:42 : ¥~[Silicone Dreams]~¥, apply-roles, GabeyPooh#7850, .iam master
15 Nov 2017 23:18:42 : ¥~[Silicone Dreams]~¥, apply-roles, Nadeko#6685, 
15 Nov 2017 23:18:50 : ¥~[Silicone Dreams]~¥, tavern, CGI Legend#1574, Heyo
15 Nov 2017 23:19:11 : ¥~[Silicone Dreams]~¥, apply-roles, 😈Lucifer😈#6638, .iam switch
15 Nov 2017 23:19:12 : ¥~[Silicone Dreams]~¥, apply-roles, Nadeko#6685, 
15 Nov 2017 23:19:13 : ¥~[Silicone Dreams]~¥, bots, Tatsumaki#8792, AuroraPax Joined the server
15 Nov 2017 23:19:21 : ¥~[Silicone Dreams]~¥, apply-roles, 😈Lucifer😈#6638, .iam male
15 Nov 2017 23:19:21 : ¥~[Silicone Dreams]~¥, apply-roles, Nadeko#6685, 
15 Nov 2017 23:19:41 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
15 Nov 2017 23:19:41 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
