18 Nov 2017 20:36:18 : ur local people, general, BToro#6675, Hjjk
18 Nov 2017 20:36:23 : ur local people, general, BToro#6675, @smoke criminal
18 Nov 2017 20:37:47 : PokeIslands, bot, Tatsumaki#8792, 
18 Nov 2017 20:38:30 : Stubbs HideAway, mainchat, IzzyBGod#2125, @StubbyMuffins how’s u feeling
18 Nov 2017 20:40:08 : The Good Server, general, Fradin (Taco)#2453, hee hah
18 Nov 2017 20:41:10 : ur local people, general, dragonbro0803#0985, ;train
18 Nov 2017 20:41:10 : ur local people, general, Botfuzzy77#2209, 
18 Nov 2017 20:41:10 : ur local people, general, Botfuzzy77#2209, 
18 Nov 2017 20:41:16 : ur local people, general, AznGamer#1494, 
18 Nov 2017 20:41:40 : CrystalFantasy, general_chat, ThievingCode#9046, Yeaaaa
18 Nov 2017 20:42:05 : ur local people, general, dragonbro0803#0985, lmao
18 Nov 2017 20:45:27 : CrystalFantasy, general_chat, BradBrass#8693, no its not
18 Nov 2017 20:45:37 : ur local people, general, Communism#9533, @smoke criminal https://www.bestbuy.com/site/ibuypower-desktop-amd-fx-series-8gb-memory-nvidia-geforce-gtx-1060-1tb-hard-drive-black-red/5600304.p?skuId=5600304
18 Nov 2017 20:45:37 : CrystalFantasy, general_chat, ๖̶̶̶ζ͜͡๖ۣۣۜLily Gray#3763, Not anymore, Brad.
18 Nov 2017 20:45:39 : CrystalFantasy, general_chat, BradBrass#8693, not for me atleast
18 Nov 2017 20:45:40 : CrystalFantasy, general_chat, BradBrass#8693, oh
18 Nov 2017 20:45:43 : CrystalFantasy, general_chat, Aftermath Pratty#1051, Hi!
18 Nov 2017 20:45:44 : CrystalFantasy, general_chat, ๖̶̶̶ζ͜͡๖ۣۣۜLily Gray#3763, It was really bad
18 Nov 2017 20:45:45 : ur local people, general, Communism#9533, its only for 680$
18 Nov 2017 20:45:47 : CrystalFantasy, general_chat, BradBrass#8693, hi..
18 Nov 2017 20:45:52 : CrystalFantasy, general_chat, ๖̶̶̶ζ͜͡๖ۣۣۜLily Gray#3763, It fixed like two minutes ago
18 Nov 2017 20:45:57 : CrystalFantasy, general_chat, Aftermath Pratty#1051, lol
18 Nov 2017 20:46:03 : CrystalFantasy, general_chat, Aftermath Pratty#1051, Hows the server?
18 Nov 2017 20:46:07 : CrystalFantasy, general_chat, Aftermath Pratty#1051, Anyone know?
18 Nov 2017 20:46:08 : CrystalFantasy, general_chat, ๖̶̶̶ζ͜͡๖ۣۣۜLily Gray#3763, Still dead
18 Nov 2017 20:46:15 : CrystalFantasy, general_chat, ThievingCode#9046, Rip
18 Nov 2017 20:46:26 : CrystalFantasy, general_chat, ๖̶̶̶ζ͜͡๖ۣۣۜLily Gray#3763, Maybe for good if I keep thinking the way I am...
18 Nov 2017 20:46:40 : CrystalFantasy, general_chat, ThievingCode#9046, *Uh oh
18 Nov 2017 20:46:48 : CrystalFantasy, general_chat, ThievingCode#9046, Whats wrong
18 Nov 2017 20:49:16 : GreenHillGang, general, Pierce#7555, @Kernal Cannon
18 Nov 2017 20:49:35 : LimitlessMc, botchat, KidKraft#7732, ;train
18 Nov 2017 20:49:35 : LimitlessMc, botchat, Botfuzzy77#2209, 
18 Nov 2017 20:49:35 : LimitlessMc, botchat, Botfuzzy77#2209, 
18 Nov 2017 20:49:36 : LimitlessMc, botchat, Botfuzzy77#2209, 
18 Nov 2017 20:55:12 : LimitlessMc, botchat, MattRuc#5481, well well well
18 Nov 2017 20:55:17 : LimitlessMc, botchat, MattRuc#5481, look at my score today
18 Nov 2017 20:55:18 : LimitlessMc, botchat, MattRuc#5481, ;lvl
18 Nov 2017 20:55:20 : LimitlessMc, botchat, MattRuc#5481, ;train
18 Nov 2017 20:55:21 : LimitlessMc, botchat, Botfuzzy77#2209, 
18 Nov 2017 20:55:21 : LimitlessMc, botchat, Botfuzzy77#2209, 
18 Nov 2017 20:55:21 : LimitlessMc, botchat, Botfuzzy77#2209, 
18 Nov 2017 20:55:26 : LimitlessMc, botchat, MattRuc#5481, ;pbs
18 Nov 2017 20:55:26 : LimitlessMc, botchat, Botfuzzy77#2209, 
18 Nov 2017 20:55:37 : LimitlessMc, botchat, MattRuc#5481, ;pb sgpssiegin
18 Nov 2017 20:55:37 : LimitlessMc, botchat, Botfuzzy77#2209, 
18 Nov 2017 20:55:38 : LimitlessMc, botchat, Botfuzzy77#2209, 
18 Nov 2017 20:55:38 : LimitlessMc, botchat, Botfuzzy77#2209, 
18 Nov 2017 20:55:39 : LimitlessMc, botchat, Botfuzzy77#2209, 
18 Nov 2017 20:55:40 : LimitlessMc, botchat, Botfuzzy77#2209, 
18 Nov 2017 20:55:46 : LimitlessMc, botchat, MattRuc#5481, mmmm so tasty
18 Nov 2017 20:57:12 : Achievement Heaven, ah-general, maddog780ca#9376, Good afternoon everyone I'll be on the server testing out slimefun recipes  come join if you like
18 Nov 2017 21:00:59 : Stubbs HideAway, bots, StubbyMuffins#1053, ;join
18 Nov 2017 21:00:59 : Stubbs HideAway, bots, Botfuzzy77#2209, Connected channel!
18 Nov 2017 21:01:09 : Stubbs HideAway, bots, StubbyMuffins#1053, ;search do you feel it rick and morty
18 Nov 2017 21:01:11 : Stubbs HideAway, bots, Botfuzzy77#2209, Added Chaos Chaos - Do You Feel It? (RICK AND MORTY) to the queue
18 Nov 2017 21:01:11 : Stubbs HideAway, bots, Botfuzzy77#2209, https://www.youtube.com/watch?v=MH17AHIklCM
18 Nov 2017 21:01:12 : Stubbs HideAway, bots, StubbyMuffins#1053, ;loop 3
18 Nov 2017 21:01:12 : Stubbs HideAway, bots, Botfuzzy77#2209, Can not loop that many times!
18 Nov 2017 21:01:16 : Stubbs HideAway, bots, StubbyMuffins#1053, ;loop
