25 Nov 2017 09:13:05 : None, Direct Message with darth kota, darth kota#9446, Hello
25 Nov 2017 09:13:06 : None, Direct Message with darth kota, darthbot98#5182, *From The Other Side*
25 Nov 2017 09:13:24 : None, Direct Message with darth kota, darth kota#9446, @darthbot98 how are you
25 Nov 2017 09:13:25 : None, Direct Message with darth kota, darthbot98#5182, Fine thanks.
25 Nov 2017 09:13:53 : None, Direct Message with darth kota, darth kota#9446, Status
25 Nov 2017 09:13:59 : None, Direct Message with darth kota, darth kota#9446, ;status
25 Nov 2017 09:14:03 : None, Direct Message with darth kota, darthbot98#5182, 
25 Nov 2017 09:14:15 : None, Direct Message with darth kota, darth kota#9446, ;status
25 Nov 2017 09:14:18 : None, Direct Message with darth kota, darthbot98#5182, 
25 Nov 2017 22:34:23 : None, Direct Message with darth kota, darth kota#9446, ;status
25 Nov 2017 22:34:25 : None, Direct Message with darth kota, darthbot98#5182, 
25 Nov 2017 22:34:37 : None, Direct Message with darth kota, darth kota#9446, @darthbot98 hello
25 Nov 2017 22:34:38 : None, Direct Message with darth kota, darthbot98#5182, What's your real name?
25 Nov 2017 22:34:57 : None, Direct Message with darth kota, darth kota#9446, @darthbot98 Dakota yours?
25 Nov 2017 22:34:58 : None, Direct Message with darth kota, darthbot98#5182, You are not David.
25 Nov 2017 23:29:51 : FAM, main, Dank#7795, BEST NUT OF MY LIFE
25 Nov 2017 23:52:03 : FAM, main, Dank#7795, 
25 Nov 2017 23:52:43 : FAM, main, Dank#7795, 
26 Nov 2017 00:03:11 : FAM, main, Vegetables#8351, fortnite is pretty goofd
26 Nov 2017 00:04:18 : FAM, main, Dank#7795, goof
26 Nov 2017 00:15:31 : FAM, videos-and-music, Dank#7795, ~play https://www.youtube.com/watch?v=-KnMrX_4QSg&list=PLmeh_k7wt_XvRCjvUf7y_hHi_ZrZhUsrE&index=53
26 Nov 2017 00:16:19 : FAM, videos-and-music, Dank#7795, -play https://www.youtube.com/watch?v=-KnMrX_4QSg&list=PLmeh_k7wt_XvRCjvUf7y_hHi_ZrZhUsrE&index=53
26 Nov 2017 00:16:46 : FAM, videos-and-music, Dank#7795, -disconnect
26 Nov 2017 00:17:06 : FAM, videos-and-music, xReloaded#3785, -disconnect
26 Nov 2017 00:17:06 : FAM, videos-and-music, Mee6#4876, GG @xReloaded, you just advanced to **level 10** !
26 Nov 2017 00:17:54 : FAM, videos-and-music, Dank#7795, -play https://www.youtube.com/watch?v=-KnMrX_4QSg
26 Nov 2017 00:20:36 : FAM, videos-and-music, xReloaded#3785, -play https://www.youtube.com/watch?v=mMvq44Bvr-w
26 Nov 2017 00:20:40 : FAM, videos-and-music, xReloaded#3785, -next
26 Nov 2017 00:21:45 : FAM, videos-and-music, xReloaded#3785, -play https://youtu.be/mMvq44Bvr-w?t=15s
26 Nov 2017 00:24:33 : FAM, videos-and-music, xReloaded#3785, -disconnect
26 Nov 2017 00:24:38 : FAM, videos-and-music, Dank#7795, -play https://www.youtube.com/watch?v=F0PUVKfxkTM
26 Nov 2017 00:27:10 : FAM, videos-and-music, xReloaded#3785, -disconnect
26 Nov 2017 00:27:23 : FAM, videos-and-music, Dank#7795, https://www.youtube.com/watch?v=-Edk59BqSEU
26 Nov 2017 00:31:53 : FAM, videos-and-music, Dank#7795, https://www.youtube.com/watch?v=pdZQ98mWeto
26 Nov 2017 00:43:13 : FAM, videos-and-music, Dank#7795, https://www.amazon.ca/ASUS-GeForce-Dual-Fan-Graphics-DUAL-GTX1060-O3G/dp/B01KMVHB6M/ref=sr_1_2?s=electronics&ie=UTF8&qid=1505581739&sr=1-2&keywords=gtx%2B1060&th=1
26 Nov 2017 00:45:48 : FAM, videos-and-music, xReloaded#3785, https://www.youtube.com/watch?v=y1RWItff0eQ
26 Nov 2017 00:47:17 : FAM, videos-and-music, xReloaded#3785, https://www.youtube.com/watch?v=wVM0Nb5crMM
26 Nov 2017 01:05:44 : FAM, game-chat, WafflesTheWaffle#4121, @Dank http://promotions.newegg.com/NEemail/Nov-0-2017/EXPRESS_g9df7sse_25/index-landing.html?utm_medium=Email&utm_source=EXPRESS112517&cm_mmc=EMC-EXPRESS112517-_-EMC-112517-Index-_-E0C-_-feature2&et_cid=39732&et_rid=16014097&et_p1=&email64=a2VubnlnZWhhbnRAeWFob28uY29t
26 Nov 2017 01:21:03 : FAM, off-topic, WafflesTheWaffle#4121, 
26 Nov 2017 01:21:17 : FAM, off-topic, WafflesTheWaffle#4121, Tip fedora pls
26 Nov 2017 02:36:37 : FAM, main, Mee6#4876, @Ramaza, Welcome to **FAM** ! <:PCMR:382251419685617674>
26 Nov 2017 02:38:30 : FAM, off-topic, WafflesTheWaffle#4121, https://www.youtube.com/watch?v=SW-BU6keEUw
26 Nov 2017 02:43:59 : FAM, off-topic, WafflesTheWaffle#4121, https://www.youtube.com/watch?v=ZyhrYis509A
26 Nov 2017 03:09:28 : FAM, main, WafflesTheWaffle#4121, you guys are about to miss out
26 Nov 2017 04:42:01 : FAM, videos-and-music, WafflesTheWaffle#4121, -play https://www.youtube.com/watch?v=lXMskKTw3Bc
26 Nov 2017 04:42:38 : FAM, videos-and-music, WafflesTheWaffle#4121, -disconnect
26 Nov 2017 04:48:41 : FAM, videos-and-music, WafflesTheWaffle#4121, -play https://www.youtube.com/watch?v=lXMskKTw3Bc
26 Nov 2017 04:50:52 : FAM, videos-and-music, WafflesTheWaffle#4121, ;;play https://www.youtube.com/watch?v=lXMskKTw3Bc
26 Nov 2017 04:51:47 : FAM, main, Little Light#0413, ;;play stop
26 Nov 2017 04:51:50 : FAM, main, Little Light#0413, ;;stop
26 Nov 2017 04:51:58 : FAM, main, AK#1680, ;;skip
26 Nov 2017 04:52:37 : FAM, videos-and-music, xReloaded#3785, -disconnect
26 Nov 2017 04:52:41 : FAM, videos-and-music, xReloaded#3785, ;;destroy
26 Nov 2017 04:55:25 : FAM, videos-and-music, WafflesTheWaffle#4121, -play https://www.youtube.com/watch?v=lXMskKTw3Bc
26 Nov 2017 04:56:10 : FAM, videos-and-music, WafflesTheWaffle#4121, -play https://www.youtube.com/watch?v=JzvDoyW5u5g&list=RDJzvDoyW5u5g&t=9
26 Nov 2017 04:56:13 : FAM, videos-and-music, WafflesTheWaffle#4121, -skip
26 Nov 2017 04:56:30 : FAM, videos-and-music, WafflesTheWaffle#4121, -disconnect
26 Nov 2017 04:59:30 : FAM, main, WafflesTheWaffle#4121, @Little Light @AK music bot commands only work in the videos-and-music text channel now
26 Nov 2017 05:00:22 : FAM, videos-and-music, WafflesTheWaffle#4121, -play https://www.youtube.com/watch?v=SW-BU6keEUw
26 Nov 2017 05:02:29 : FAM, videos-and-music, WafflesTheWaffle#4121, -disconnect
26 Nov 2017 05:03:21 : FAM, pictures-and-screenshots, WafflesTheWaffle#4121, 
26 Nov 2017 05:03:46 : FAM, videos-and-music, WafflesTheWaffle#4121, -play https://www.youtube.com/watch?v=xlSmsKJq3CI
26 Nov 2017 05:04:22 : FAM, videos-and-music, WafflesTheWaffle#4121, -disconnect
26 Nov 2017 07:53:11 : FAM, off-topic, darth kota#9446, ;hug @Little Light
26 Nov 2017 07:53:12 : FAM, off-topic, darthbot98#5182, :hugging: *darth kota Hugged @Little Light* :hugging:
26 Nov 2017 07:56:53 : FAM, off-topic, darth kota#9446, :kms
26 Nov 2017 07:56:59 : FAM, off-topic, darth kota#9446, ;kms
26 Nov 2017 07:56:59 : FAM, off-topic, darthbot98#5182, Good :)
