29 Nov 2017 07:36:36 : FAM, off-topic, darth kota#9446, ;presence with myself
29 Nov 2017 07:36:37 : FAM, off-topic, darthbot98#5182, I am now playing with myself
29 Nov 2017 10:56:25 : FAM, main, Mee6#4876, This faggot: **FRANK.UNDERW00D** just left our server.
29 Nov 2017 17:44:33 : FAM, off-topic, darth kota#9446, ;join
29 Nov 2017 17:44:33 : FAM, off-topic, darthbot98#5182, Connected channel!
29 Nov 2017 18:15:29 : FAM, off-topic, darth kota#9446, m
29 Nov 2017 20:13:41 : FAM, main, multiplicasian#1871, yes
29 Nov 2017 20:13:41 : FAM, main, Mee6#4876, GG @multiplicasian, you just advanced to **level 1** !
29 Nov 2017 22:02:47 : FAM, main, Mee6#4876, This faggot: **Sparr0w** just left our server.
30 Nov 2017 00:12:10 : FAM, off-topic, darth kota#9446, ;search 18 days
30 Nov 2017 00:12:20 : FAM, off-topic, darthbot98#5182, Added Saving Abel - 18 Days to the queue
30 Nov 2017 00:12:20 : FAM, off-topic, darthbot98#5182, https://www.youtube.com/watch?v=UHcUEnmQ8AI
30 Nov 2017 00:15:59 : FAM, off-topic, darth kota#9446, ;status
30 Nov 2017 00:16:01 : FAM, off-topic, darthbot98#5182, 
30 Nov 2017 03:55:30 : FAM, off-topic, Dank#7795, https://cdn.discordapp.com/attachments/385633490483281931/385639731330940939/Battle.net_2017-07-27_18-39-40.png
30 Nov 2017 03:57:18 : FAM, main, xReloaded#3785, NOOOO
30 Nov 2017 03:57:33 : FAM, main, xReloaded#3785, SPARROW WHY NOOOO
30 Nov 2017 04:05:25 : FAM, off-topic, Little Light#0413, https://www.youtube.com/watch?v=_GyOeJ8bo6g
30 Nov 2017 07:05:24 : darth, general, darthbot98#5182, Welcome @soulslasher1 to darth!
