30 Nov 2017 07:08:07 : darth, general, darth kota#9446, ;join
30 Nov 2017 07:08:08 : darth, general, darthbot98#5182, Connected channel!
30 Nov 2017 07:09:47 : darth, general, soulslasher1#5134, 
30 Nov 2017 07:10:11 : darth, general, soulslasher1#5134, boi
30 Nov 2017 07:10:29 : darth, general, darth kota#9446, ;search sad but true
30 Nov 2017 07:10:50 : darth, general, darthbot98#5182, Added Metallica - Sad But True Lyrics (HD) to the queue
30 Nov 2017 07:10:50 : darth, general, darthbot98#5182, https://www.youtube.com/watch?v=O_4OfD-wmGs
30 Nov 2017 07:11:17 : darth, general, soulslasher1#5134, ;search battlefiel
30 Nov 2017 07:11:20 : darth, general, darthbot98#5182, Added Jordin Sparks - Battlefield to the queue
30 Nov 2017 07:11:20 : darth, general, darthbot98#5182, https://www.youtube.com/watch?v=suPlYwJ3YvM
30 Nov 2017 07:11:23 : darth, general, darth kota#9446, ;relog
