02 Dec 2017 02:03:59 : darth, general, darth kota#9446, ; join
02 Dec 2017 02:04:03 : darth, general, darth kota#9446, ;join
02 Dec 2017 02:04:04 : darth, general, darthbot98#5182, Connected channel!
02 Dec 2017 02:04:48 : darth, general, darth kota#9446, ;search it never rains in Southern California
02 Dec 2017 02:04:53 : darth, general, darthbot98#5182, Added Tony! Toni! Tone! - It Never Rains (In Southern California) to the queue
02 Dec 2017 02:04:53 : darth, general, darthbot98#5182, https://www.youtube.com/watch?v=3yNibj8LW-Q
02 Dec 2017 02:06:16 : FAM, main, Dank#7795, https://www.youtube.com/watch?v=43gm3CJePn0
02 Dec 2017 02:06:19 : FAM, main, Dank#7795, nigger
02 Dec 2017 02:06:39 : FAM, main, Dank#7795, 2:q4
02 Dec 2017 02:06:47 : FAM, main, Dank#7795, 2:14
02 Dec 2017 03:04:48 : FAM, main, xReloaded#3785, 
02 Dec 2017 03:08:11 : FAM, main, Dank#7795, Get on our level
02 Dec 2017 03:08:11 : FAM, main, Psychopomp#4082, losers
02 Dec 2017 03:55:32 : FAM, main, xReloaded#3785, http://qaz.wtf/u/convert.cgi
