02 Dec 2017 04:49:23 : FAM, main, xReloaded#3785, @M!STO If you do not get online before the 18th I will do it
02 Dec 2017 04:50:30 : FAM, main, xReloaded#3785, 
02 Dec 2017 04:51:30 : FAM, main, xReloaded#3785, 
02 Dec 2017 04:53:47 : FAM, main, xReloaded#3785, 
02 Dec 2017 04:54:08 : FAM, main, xReloaded#3785, @M!STO If you don't get online before the 18th I will do it
02 Dec 2017 09:07:07 : darth, general, darth kota#9446, ;join
02 Dec 2017 09:07:08 : darth, general, darthbot98#5182, Connected channel!
02 Dec 2017 09:07:27 : darth, general, darth kota#9446, ;search she is love
02 Dec 2017 09:07:39 : darth, general, darthbot98#5182, Added Parachute - She Is Love to the queue
02 Dec 2017 09:07:39 : darth, general, darthbot98#5182, https://www.youtube.com/watch?v=xr3qfy78iG4
02 Dec 2017 09:07:49 : darth, general, darth kota#9446, ;relog
