03 Dec 2017 08:04:49 : FAM, main, Mee6#4876, @AlphaCueSlow, Welcome to **FAM** ! <:PCMR:382251419685617674>
03 Dec 2017 16:40:51 : darth, general, darth kota#9446, ;status
03 Dec 2017 16:40:53 : darth, general, darthbot98#5182, 
03 Dec 2017 17:06:49 : darth, general, darth kota#9446, ;join
03 Dec 2017 17:06:50 : darth, general, darthbot98#5182, Connected channel!
03 Dec 2017 17:07:05 : darth, general, darth kota#9446, ;search she is love
03 Dec 2017 17:07:15 : darth, general, darth kota#9446, ;recommend
03 Dec 2017 17:07:16 : darth, general, darthbot98#5182, Recommend Songs to play: True
03 Dec 2017 17:07:18 : darth, general, darthbot98#5182, Added Parachute - She Is Love to the queue
03 Dec 2017 17:07:18 : darth, general, darthbot98#5182, https://www.youtube.com/watch?v=xr3qfy78iG4
03 Dec 2017 17:07:26 : darth, general, darth kota#9446, ;songs
03 Dec 2017 17:07:27 : darth, general, darthbot98#5182, 
03 Dec 2017 17:07:32 : darth, general, darth kota#9446, ;songs
03 Dec 2017 17:07:34 : darth, general, darthbot98#5182, 
03 Dec 2017 17:07:39 : darth, general, darth kota#9446, ;recommend
03 Dec 2017 17:07:39 : darth, general, darthbot98#5182, Recommend Songs to play: False
03 Dec 2017 17:07:44 : darth, general, darth kota#9446, ;recommend
03 Dec 2017 17:07:44 : darth, general, darthbot98#5182, Recommend Songs to play: True
03 Dec 2017 17:07:58 : darth, general, darth kota#9446, ;relog
03 Dec 2017 17:07:58 : darth, general, darthbot98#5182, Relogging...
