03 Dec 2017 17:08:06 : darth, general, darth kota#9446, ;search she is love
03 Dec 2017 17:08:07 : darth, general, darthbot98#5182, The Bot isnt connected in this server!
03 Dec 2017 17:08:16 : darth, general, darth kota#9446, ;join
03 Dec 2017 17:08:17 : darth, general, darthbot98#5182, Connected channel!
03 Dec 2017 17:08:25 : darth, general, darth kota#9446, ;search she is love
03 Dec 2017 17:08:28 : darth, general, darthbot98#5182, Added Parachute - She Is Love to the queue
03 Dec 2017 17:08:28 : darth, general, darthbot98#5182, https://www.youtube.com/watch?v=xr3qfy78iG4
03 Dec 2017 17:08:34 : darth, general, darth kota#9446, ;recommend
03 Dec 2017 17:08:34 : darth, general, darthbot98#5182, Recommend Songs to play: True
03 Dec 2017 21:18:24 : FAM, main, Psychopomp#4082, https://soundcloud.com/frainagallanes/geek
03 Dec 2017 21:18:28 : FAM, main, Psychopomp#4082, new heat
04 Dec 2017 02:06:24 : FAM, main, Mee6#4876, @Click, Welcome to **FAM** ! <:PCMR:382251419685617674>
04 Dec 2017 04:39:32 : darth, general, darth kota#9446, ;skip
04 Dec 2017 04:39:32 : darth, general, darthbot98#5182, 1/0 votes to skip
04 Dec 2017 04:39:32 : darth, general, darthbot98#5182, Skipping Becky G, Bad Bunny - Mayores (Official Video) ft. Bad Bunny by popular vote.
04 Dec 2017 04:39:41 : darth, general, darth kota#9446, ;songs
04 Dec 2017 04:39:41 : darth, general, darthbot98#5182, 
04 Dec 2017 04:43:05 : darth, general, darth kota#9446, ;skip
04 Dec 2017 04:43:05 : darth, general, darthbot98#5182, 1/0 votes to skip
04 Dec 2017 04:43:05 : darth, general, darthbot98#5182, Skipping Selena Gomez - Bad Liar by popular vote.
04 Dec 2017 04:43:24 : darth, general, darth kota#9446, ;clear
04 Dec 2017 04:43:24 : darth, general, darthbot98#5182, Cleared Queue!
04 Dec 2017 04:43:29 : darth, general, darth kota#9446, ;recommend
04 Dec 2017 04:43:29 : darth, general, darthbot98#5182, Recommend Songs to play: False
04 Dec 2017 04:43:33 : darth, general, darth kota#9446, ;skip
04 Dec 2017 04:43:33 : darth, general, darthbot98#5182, 1/0 votes to skip
04 Dec 2017 04:43:33 : darth, general, darthbot98#5182, Skipping P!nk - Family Portrait by popular vote.
04 Dec 2017 04:43:42 : darth, general, darth kota#9446, ;search she is love
04 Dec 2017 04:43:44 : darth, general, darthbot98#5182, Added Parachute - She Is Love to the queue
04 Dec 2017 04:43:44 : darth, general, darthbot98#5182, https://www.youtube.com/watch?v=xr3qfy78iG4
04 Dec 2017 04:44:02 : darth, general, darth kota#9446, ;skip
04 Dec 2017 04:44:02 : darth, general, darthbot98#5182, 1/0 votes to skip
04 Dec 2017 04:44:02 : darth, general, darthbot98#5182, Skipping P!nk - Beautiful Trauma (Official Video) by popular vote.
04 Dec 2017 04:44:12 : darth, general, darth kota#9446, ;clear
04 Dec 2017 04:44:12 : darth, general, darthbot98#5182, Cleared Queue!
04 Dec 2017 04:44:14 : darth, general, darth kota#9446, ;songs
04 Dec 2017 04:44:14 : darth, general, darthbot98#5182, 
04 Dec 2017 04:44:24 : darth, general, darth kota#9446, ;search she is love
04 Dec 2017 04:44:26 : darth, general, darthbot98#5182, Added Parachute - She Is Love to the queue
04 Dec 2017 04:44:26 : darth, general, darthbot98#5182, https://www.youtube.com/watch?v=xr3qfy78iG4
04 Dec 2017 04:44:29 : darth, general, darth kota#9446, ;skip
04 Dec 2017 04:44:29 : darth, general, darthbot98#5182, 1/0 votes to skip
04 Dec 2017 04:44:29 : darth, general, darthbot98#5182, Skipping P!nk - Don't Let Me Get Me (Video) by popular vote.
04 Dec 2017 04:44:38 : darth, general, darth kota#9446, ;recommend
04 Dec 2017 04:44:38 : darth, general, darthbot98#5182, Recommend Songs to play: True
04 Dec 2017 04:44:42 : darth, general, darth kota#9446, ;songs
04 Dec 2017 04:44:42 : darth, general, darthbot98#5182, 
04 Dec 2017 05:02:53 : FAM, pictures-and-screenshots, Psychopomp#4082, 
04 Dec 2017 05:06:28 : FAM, pictures-and-screenshots, xReloaded#3785, 
04 Dec 2017 06:59:06 : darth, general, darth kota#9446, ;skip
04 Dec 2017 06:59:06 : darth, general, darthbot98#5182, 1/0 votes to skip
04 Dec 2017 06:59:06 : darth, general, darthbot98#5182, Skipping Numb (Official Video) - Linkin Park by popular vote.
04 Dec 2017 07:33:29 : darth, general, darth kota#9446, ;recommand
04 Dec 2017 07:33:38 : darth, general, darth kota#9446, ;recommend
04 Dec 2017 07:33:38 : darth, general, darthbot98#5182, Recommend Songs to play: False
04 Dec 2017 07:33:45 : darth, general, darth kota#9446, ;cleat
04 Dec 2017 07:33:49 : darth, general, darth kota#9446, ;clear
04 Dec 2017 07:33:49 : darth, general, darthbot98#5182, Cleared Queue!
04 Dec 2017 07:33:54 : darth, general, darth kota#9446, ;skip
04 Dec 2017 07:33:54 : darth, general, darthbot98#5182, 1/0 votes to skip
04 Dec 2017 07:33:54 : darth, general, darthbot98#5182, Skipping Ed Sheeran - Perfect (Official Music Video) by popular vote.
04 Dec 2017 08:45:06 : FAM, main, Predatør#1907, https://soundcloud.com/cody-mccarthy
04 Dec 2017 09:46:16 : FAM, main, Predatør#1907, https://www.amazon.com/Francis-Filth-George-Miller/dp/138715950X/ref=sr_1_1?ie=UTF8&qid=1506534962&sr=8-1&keywords=francis+of+the+filth
04 Dec 2017 21:49:57 : FAM, main, Psychopomp#4082, cuz you didnt appreciate him enough
