04 Dec 2017 23:45:33 : darth, general, darth kota#9446, ;search simple man
04 Dec 2017 23:45:34 : darth, general, darthbot98#5182, The Bot isnt connected in this server!
04 Dec 2017 23:45:38 : darth, general, darth kota#9446, ;join
04 Dec 2017 23:45:38 : darth, general, darthbot98#5182, Connected channel!
04 Dec 2017 23:45:45 : darth, general, darth kota#9446, ;search simple man
04 Dec 2017 23:45:50 : darth, general, darthbot98#5182, Added Simple Man - Lynyrd Skynyrd - Lyrics HD to the queue
04 Dec 2017 23:45:50 : darth, general, darthbot98#5182, https://www.youtube.com/watch?v=sMmTkKz60W8
04 Dec 2017 23:47:18 : darth, general, darth kota#9446, ;search stair way to heaven
04 Dec 2017 23:47:21 : darth, general, darthbot98#5182, Added Led Zeppelin - Stairway To Heaven Live (HD) to the queue
04 Dec 2017 23:47:21 : darth, general, darthbot98#5182, https://www.youtube.com/watch?v=6Fqozggi-44
04 Dec 2017 23:48:03 : darth, general, darth kota#9446, ;skip
04 Dec 2017 23:48:21 : darth, general, darth kota#9446, ;relog
04 Dec 2017 23:48:21 : darth, general, darthbot98#5182, Relogging...
