04 Dec 2017 23:48:32 : darth, general, darth kota#9446, ;search stairway to heaven
04 Dec 2017 23:48:33 : darth, general, darthbot98#5182, The Bot isnt connected in this server!
04 Dec 2017 23:48:39 : darth, general, darth kota#9446, ;join
04 Dec 2017 23:48:39 : darth, general, darthbot98#5182, Connected channel!
04 Dec 2017 23:48:53 : darth, general, darth kota#9446, ;search stairway to heavn
04 Dec 2017 23:48:57 : darth, general, darthbot98#5182, Added Led Zeppelin - Stairway To Heaven Live (HD) to the queue
04 Dec 2017 23:48:57 : darth, general, darthbot98#5182, https://www.youtube.com/watch?v=6Fqozggi-44
05 Dec 2017 01:55:30 : FAM, main, Psychopomp#4082, http://play.typeracer.com/?rt=2o1z5dsib
05 Dec 2017 03:13:49 : FAM, main, xReloaded#3785, https://www.ekwb.com/shop/ek-supremacy-evo-red-edition
05 Dec 2017 04:34:31 : FAM, main, Psychopomp#4082, http://play.typeracer.com/?rt=2ifi78lc21
05 Dec 2017 05:50:28 : FAM, main, M!STO#0196, 
05 Dec 2017 05:50:54 : FAM, main, M!STO#0196, 
05 Dec 2017 05:53:25 : FAM, main, xReloaded#3785, http://play.typeracer.com/?rt=2ifi78lc21
05 Dec 2017 05:54:54 : FAM, main, M!STO#0196, 
05 Dec 2017 21:13:24 : FAM, main, M!STO#0196, Attack on Titan
06 Dec 2017 02:35:43 : FAM, off-topic, M!STO#0196, https://www.youtube.com/watch?v=0WOTK3JGoas
06 Dec 2017 02:41:03 : FAM, off-topic, M!STO#0196, https://www.pewpewtactical.com/wp-content/uploads/2016/02/Stag-2TF-Featureless-AR-15.jpg
06 Dec 2017 02:41:56 : FAM, off-topic, M!STO#0196, http://farm8.staticflickr.com/7164/6803494931_56e0f875ab_b.jpg
06 Dec 2017 02:42:51 : FAM, off-topic, M!STO#0196, http://www.springfield-armory.com/products/m1a-socom-16/
06 Dec 2017 02:43:28 : FAM, off-topic, M!STO#0196, http://www.springfield-armory.com/products/m1a-scout-squad/
06 Dec 2017 02:55:46 : FAM, off-topic, M!STO#0196, https://www.amazon.com/dp/B076FJL7ZW/ref=sspa_dk_detail_0?psc=1
06 Dec 2017 03:00:59 : FAM, off-topic, M!STO#0196, https://www.facebook.com/SupermanVSBatmanDCCOMICS/videos/806421996194503/
06 Dec 2017 03:03:57 : FAM, off-topic, M!STO#0196, https://www.youtube.com/watch?v=cBrdfFk7hYs
06 Dec 2017 04:43:08 : FAM, main, xReloaded#3785, I'm ready to retire
