11 Dec 2017 03:51:09 : FAM, videos-and-music, darth kota#9446, ;youtube https://www.youtube.com/watch?v=SHhrZgojY1Q&list=PL8EAA83325701CE9C
11 Dec 2017 03:51:09 : FAM, videos-and-music, darthbot98#5182, The Bot isnt connected in this server!
11 Dec 2017 03:51:26 : FAM, videos-and-music, darth kota#9446, ;join
11 Dec 2017 03:51:27 : FAM, videos-and-music, darthbot98#5182, Connected channel!
11 Dec 2017 03:51:38 : FAM, videos-and-music, darth kota#9446, ;youtube https://www.youtube.com/watch?v=SHhrZgojY1Q&list=PL8EAA83325701CE9C
11 Dec 2017 03:51:45 : FAM, videos-and-music, darthbot98#5182, Added The Who - Won't Get Fooled Again to the queue
11 Dec 2017 03:52:16 : FAM, videos-and-music, darthbot98#5182, Finished Adding songs from playlist(s)
11 Dec 2017 03:52:18 : FAM, videos-and-music, darthbot98#5182, 
11 Dec 2017 03:52:26 : FAM, videos-and-music, darth kota#9446, ;recommend
11 Dec 2017 03:52:26 : FAM, videos-and-music, darthbot98#5182, Recommend Songs to play: True
11 Dec 2017 03:52:31 : FAM, videos-and-music, darth kota#9446, ;songs
11 Dec 2017 03:52:31 : FAM, videos-and-music, darthbot98#5182, 
11 Dec 2017 03:52:35 : FAM, videos-and-music, darthbot98#5182, 
11 Dec 2017 03:57:08 : FAM, main, xReloaded#3785, https://notehub.org/ah0o8
11 Dec 2017 03:59:54 : FAM, videos-and-music, xReloaded#3785, ;;relog
11 Dec 2017 04:00:01 : FAM, videos-and-music, xReloaded#3785, ;relog
11 Dec 2017 04:00:01 : FAM, videos-and-music, darthbot98#5182, INVALID
11 Dec 2017 04:04:25 : FAM, videos-and-music, xReloaded#3785, pls boo
11 Dec 2017 04:05:26 : FAM, videos-and-music, Predatør#1907, pls boo
11 Dec 2017 04:05:30 : FAM, videos-and-music, darth kota#9446, Lel
11 Dec 2017 04:05:38 : FAM, videos-and-music, darth kota#9446, ;relog
