13 Dec 2017 06:26:30 : None, Direct Message with darth kota, darth kota#9446, ;join
13 Dec 2017 06:27:27 : FAM, videos-and-music, darth kota#9446, ;join
13 Dec 2017 06:27:28 : FAM, videos-and-music, darthbot98#5182, Connected channel!
13 Dec 2017 06:27:36 : FAM, videos-and-music, darth kota#9446, ;search hinder homecoming
13 Dec 2017 06:27:40 : FAM, videos-and-music, darthbot98#5182, Added Hinder Homecoming Queen Lyrics to the queue
13 Dec 2017 06:27:40 : FAM, videos-and-music, darthbot98#5182, https://www.youtube.com/watch?v=e6_9RR1dvPU
13 Dec 2017 06:32:58 : FAM, videos-and-music, darth kota#9446, ;search hinder homecoming
13 Dec 2017 06:33:03 : FAM, videos-and-music, darthbot98#5182, Added Hinder Homecoming Queen Lyrics to the queue
13 Dec 2017 06:33:03 : FAM, videos-and-music, darthbot98#5182, https://www.youtube.com/watch?v=e6_9RR1dvPU
13 Dec 2017 06:36:28 : FAM, videos-and-music, darth kota#9446, ;loop 3
13 Dec 2017 06:36:31 : FAM, videos-and-music, darthbot98#5182, Added '*Hinder Homecoming Queen Lyrics*' **3** more times
13 Dec 2017 06:41:00 : FAM, videos-and-music, darth kota#9446, ;recomend
13 Dec 2017 06:41:06 : FAM, videos-and-music, darth kota#9446, ;recommend
13 Dec 2017 06:41:06 : FAM, videos-and-music, darthbot98#5182, Recommend Songs to play: True
13 Dec 2017 07:14:46 : FAM, videos-and-music, darth kota#9446, ;songs
13 Dec 2017 07:14:47 : FAM, videos-and-music, darthbot98#5182, 
13 Dec 2017 07:28:08 : FAM, videos-and-music, darth kota#9446, ;relog
