13 Dec 2017 17:15:00 : FAM, off-topic, Mee6#4876, GG @Vegetables, you just advanced to **level 2** !
13 Dec 2017 17:15:04 : FAM, off-topic, Vegetables#8351, <:GWchadThonkery:366999788803325952>
13 Dec 2017 17:15:59 : FAM, off-topic, Vegetables#8351, are you sure afterburner is reading the pagefile correctly, and did you restart after changing the virtual memory amount
13 Dec 2017 18:07:34 : FAM, videos-and-music, darth kota#9446, ;join
13 Dec 2017 18:07:34 : FAM, videos-and-music, darthbot98#5182, Connected channel!
13 Dec 2017 18:07:47 : FAM, videos-and-music, darth kota#9446, ;search better then me
13 Dec 2017 18:07:52 : FAM, videos-and-music, darthbot98#5182, Added Hinder - Better Than Me to the queue
13 Dec 2017 18:07:52 : FAM, videos-and-music, darthbot98#5182, https://www.youtube.com/watch?v=TEXBmw2jBcA
13 Dec 2017 18:08:16 : FAM, videos-and-music, darth kota#9446, ;recommend
13 Dec 2017 18:08:17 : FAM, videos-and-music, darthbot98#5182, Recommend Songs to play: True
13 Dec 2017 19:02:49 : FAM, videos-and-music, darthbot98#5182, 
13 Dec 2017 19:04:12 : FAM, videos-and-music, darthbot98#5182, Added The Who - Won't Get Fooled Again to the queue
13 Dec 2017 19:04:33 : FAM, videos-and-music, darthbot98#5182, Recommend Songs to play: False
13 Dec 2017 19:04:36 : FAM, videos-and-music, darthbot98#5182, Recommend Songs to play: True
13 Dec 2017 19:04:48 : FAM, videos-and-music, darthbot98#5182, 
13 Dec 2017 19:04:55 : FAM, videos-and-music, darthbot98#5182, 1/0 votes to skip
13 Dec 2017 19:04:55 : FAM, videos-and-music, darthbot98#5182, Skipping Hoobastank - The Reason by popular vote.
13 Dec 2017 19:05:03 : FAM, videos-and-music, darthbot98#5182, 
13 Dec 2017 19:05:09 : FAM, videos-and-music, darthbot98#5182, Recommend Songs to play: False
13 Dec 2017 19:05:11 : FAM, videos-and-music, darthbot98#5182, Recommend Songs to play: True
13 Dec 2017 19:05:13 : FAM, videos-and-music, darthbot98#5182, 
13 Dec 2017 19:05:20 : FAM, videos-and-music, darthbot98#5182, 1/0 votes to skip
13 Dec 2017 19:05:20 : FAM, videos-and-music, darthbot98#5182, Skipping Daughtry - Start of Something Good by popular vote.
13 Dec 2017 19:05:22 : FAM, videos-and-music, darthbot98#5182, 1/0 votes to skip
13 Dec 2017 19:05:22 : FAM, videos-and-music, darthbot98#5182, Skipping Daughtry - Start of Something Good by popular vote.
13 Dec 2017 19:05:28 : FAM, videos-and-music, darthbot98#5182, 1/0 votes to skip
13 Dec 2017 19:05:30 : FAM, videos-and-music, darthbot98#5182, Skipping Evanescence - Sweet Sacrifice by popular vote.
13 Dec 2017 19:05:30 : FAM, videos-and-music, darthbot98#5182, 1/0 votes to skip
13 Dec 2017 19:05:30 : FAM, videos-and-music, darthbot98#5182, Skipping Evanescence - Sweet Sacrifice by popular vote.
13 Dec 2017 19:05:31 : FAM, videos-and-music, darthbot98#5182, 1/0 votes to skip
13 Dec 2017 19:05:31 : FAM, videos-and-music, darthbot98#5182, Skipping Evanescence - Sweet Sacrifice by popular vote.
13 Dec 2017 19:05:36 : FAM, videos-and-music, darthbot98#5182, 
13 Dec 2017 19:05:43 : FAM, videos-and-music, darthbot98#5182, Relogging...
