13 Dec 2017 19:05:50 : FAM, videos-and-music, darthbot98#5182, Connected channel!
13 Dec 2017 19:05:58 : FAM, videos-and-music, darthbot98#5182, Finished Adding songs from playlist
13 Dec 2017 19:06:01 : FAM, videos-and-music, darthbot98#5182, 
13 Dec 2017 19:06:14 : FAM, videos-and-music, darthbot98#5182, 
13 Dec 2017 19:06:18 : FAM, videos-and-music, darthbot98#5182, Finished Adding songs from playlist
13 Dec 2017 19:06:51 : FAM, videos-and-music, darthbot98#5182, Finished Adding songs from playlist
13 Dec 2017 19:06:52 : FAM, videos-and-music, darthbot98#5182, 
13 Dec 2017 19:06:59 : FAM, videos-and-music, darthbot98#5182, Added The Who - Won't Get Fooled Again to the queue
13 Dec 2017 19:07:00 : FAM, videos-and-music, darthbot98#5182, 
13 Dec 2017 19:07:03 : FAM, videos-and-music, darthbot98#5182, Recommend Songs to play: True
13 Dec 2017 19:07:09 : FAM, videos-and-music, darthbot98#5182, 
13 Dec 2017 19:07:23 : FAM, videos-and-music, darthbot98#5182, Recommend Songs to play: False
13 Dec 2017 19:07:25 : FAM, videos-and-music, darthbot98#5182, Recommend Songs to play: True
13 Dec 2017 19:07:27 : FAM, videos-and-music, darthbot98#5182, 
13 Dec 2017 19:08:39 : FAM, videos-and-music, darth kota#9446, thats because i didnt mess with it yet
13 Dec 2017 19:26:54 : FAM, off-topic, Vegetables#8351, use hwinfo64 to record virtual memory use
13 Dec 2017 19:27:04 : FAM, off-topic, Vegetables#8351, have sensors tab open while gaming
13 Dec 2017 19:57:15 : FAM, videos-and-music, darthbot98#5182, 
