14 Dec 2017 06:24:45 : FAM, videos-and-music, darth kota#9446, ;reload
14 Dec 2017 06:24:45 : FAM, videos-and-music, darthbot98#5182, Reloaded
14 Dec 2017 06:24:52 : FAM, videos-and-music, darth kota#9446, ;status
14 Dec 2017 06:24:54 : FAM, videos-and-music, darthbot98#5182, 
14 Dec 2017 06:25:03 : FAM, videos-and-music, darth kota#9446, ;reload
14 Dec 2017 06:25:03 : FAM, videos-and-music, darthbot98#5182, Reloaded
14 Dec 2017 06:25:14 : FAM, videos-and-music, darth kota#9446, ;status
14 Dec 2017 06:25:16 : FAM, videos-and-music, darthbot98#5182, 
14 Dec 2017 06:28:37 : FAM, videos-and-music, darth kota#9446, ;join
14 Dec 2017 06:28:37 : FAM, videos-and-music, darthbot98#5182, Connected channel!
14 Dec 2017 06:28:55 : FAM, videos-and-music, darth kota#9446, ;search its been awhile
14 Dec 2017 06:28:59 : FAM, videos-and-music, darthbot98#5182, Added Staind - It's Been Awhile (Video) to the queue
14 Dec 2017 06:28:59 : FAM, videos-and-music, darthbot98#5182, https://www.youtube.com/watch?v=araU0fZj6oQ
14 Dec 2017 06:29:01 : FAM, videos-and-music, darth kota#9446, ;recommend
14 Dec 2017 06:29:01 : FAM, videos-and-music, darthbot98#5182, Recommend Songs to play: True
14 Dec 2017 06:30:15 : FAM, videos-and-music, darth kota#9446, ;reload
14 Dec 2017 06:30:15 : FAM, videos-and-music, darthbot98#5182, Reloaded
14 Dec 2017 06:30:24 : FAM, videos-and-music, darth kota#9446, ;songs
14 Dec 2017 06:30:24 : FAM, videos-and-music, darthbot98#5182, The Bot isnt connected in this server!
14 Dec 2017 06:30:50 : FAM, videos-and-music, darth kota#9446, ;reload
14 Dec 2017 06:30:51 : FAM, videos-and-music, darthbot98#5182, Reloaded
14 Dec 2017 06:31:01 : FAM, videos-and-music, darth kota#9446, ;skip
14 Dec 2017 06:31:01 : FAM, videos-and-music, darthbot98#5182, The Bot isnt connected in this server!
14 Dec 2017 06:31:06 : FAM, videos-and-music, darth kota#9446, ;relog
