14 Dec 2017 07:15:09 : FAM, videos-and-music, darth kota#9446, ;recommend
14 Dec 2017 07:15:09 : FAM, videos-and-music, darthbot98#5182, The Bot isnt connected in this server!
14 Dec 2017 07:15:13 : FAM, videos-and-music, darth kota#9446, ;join
14 Dec 2017 07:15:13 : FAM, videos-and-music, darthbot98#5182, Connected channel!
14 Dec 2017 07:15:18 : FAM, videos-and-music, darth kota#9446, ;recommend
14 Dec 2017 07:15:18 : FAM, videos-and-music, darthbot98#5182, Nothing in que to recommend with
14 Dec 2017 07:15:42 : FAM, videos-and-music, darth kota#9446, ;search its been awhile
14 Dec 2017 07:15:46 : FAM, videos-and-music, darthbot98#5182, Added Staind - It's Been Awhile (Video) to the queue
14 Dec 2017 07:15:46 : FAM, videos-and-music, darthbot98#5182, https://www.youtube.com/watch?v=araU0fZj6oQ
14 Dec 2017 07:15:48 : FAM, videos-and-music, darth kota#9446, ;recommend
14 Dec 2017 07:15:48 : FAM, videos-and-music, darthbot98#5182, Nothing in que to recommend with
14 Dec 2017 07:15:55 : FAM, videos-and-music, darth kota#9446, ;recommend
14 Dec 2017 07:15:55 : FAM, videos-and-music, darthbot98#5182, Recommend Songs to play: True
14 Dec 2017 07:20:41 : FAM, videos-and-music, darth kota#9446, ;relog
