14 Dec 2017 08:24:39 : FAM, off-topic, darth kota#9446, ;topic whose mans
14 Dec 2017 08:24:39 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:24:54 : FAM, off-topic, darth kota#9446, ;poll1 waffles
14 Dec 2017 08:24:55 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:25:07 : FAM, off-topic, darth kota#9446, ;poll2 reloaded
14 Dec 2017 08:25:07 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:25:14 : FAM, off-topic, darth kota#9446, ;poll3 darth
14 Dec 2017 08:25:14 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:25:21 : FAM, off-topic, darth kota#9446, ;startpoll
14 Dec 2017 08:25:21 : FAM, off-topic, darthbot98#5182, whosemans
14 Dec 2017 08:25:21 : FAM, off-topic, darthbot98#5182, :one: waffles
14 Dec 2017 08:25:21 : FAM, off-topic, darthbot98#5182, :two: reloaded
14 Dec 2017 08:25:21 : FAM, off-topic, darthbot98#5182, :three: darth
14 Dec 2017 08:25:34 : FAM, off-topic, darth kota#9446, reeee
14 Dec 2017 08:25:38 : FAM, off-topic, darth kota#9446, ;relog
14 Dec 2017 08:25:38 : FAM, off-topic, darthbot98#5182, Relogging...
