14 Dec 2017 08:47:51 : FAM, off-topic, darth kota#9446, ;topic a
14 Dec 2017 08:47:52 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:47:56 : FAM, off-topic, darth kota#9446, ;poll1 b
14 Dec 2017 08:47:56 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:48:01 : FAM, off-topic, darth kota#9446, ;poll2 c
14 Dec 2017 08:48:01 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:48:12 : FAM, off-topic, darth kota#9446, ;poll3 d
14 Dec 2017 08:48:12 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:48:16 : FAM, off-topic, darth kota#9446, ;startpoll
14 Dec 2017 08:48:33 : FAM, off-topic, darth kota#9446, ;relog
14 Dec 2017 08:48:33 : FAM, off-topic, darthbot98#5182, Relogging...
