14 Dec 2017 08:53:00 : FAM, off-topic, darth kota#9446, reeee
14 Dec 2017 08:53:04 : FAM, off-topic, darth kota#9446, ;topic a
14 Dec 2017 08:53:05 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:53:10 : FAM, off-topic, darth kota#9446, ;poll1b
14 Dec 2017 08:53:16 : FAM, off-topic, darth kota#9446, ;poll1 b
14 Dec 2017 08:53:16 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:53:21 : FAM, off-topic, darth kota#9446, ;poll2 c
14 Dec 2017 08:53:21 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:53:30 : FAM, off-topic, darth kota#9446, ;poll3 d
14 Dec 2017 08:53:30 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:53:36 : FAM, off-topic, darth kota#9446, ;startpoll
14 Dec 2017 08:53:36 : FAM, off-topic, darthbot98#5182, 
14 Dec 2017 08:54:53 : FAM, off-topic, darth kota#9446, ;relog
