15 Dec 2017 07:59:40 : FAM, off-topic, darth kota#9446, ;join
15 Dec 2017 07:59:43 : FAM, off-topic, darthbot98#5182, Connected channel!
15 Dec 2017 07:59:44 : FAM, off-topic, darth kota#9446, ;search 45
15 Dec 2017 07:59:48 : FAM, off-topic, darthbot98#5182, Added Shinedown - 45 [OFFICIAL VIDEO] to the queue
15 Dec 2017 07:59:48 : FAM, off-topic, darthbot98#5182, https://www.youtube.com/watch?v=MLeIyy2ipps
15 Dec 2017 08:05:21 : FAM, off-topic, darth kota#9446, ;reload
15 Dec 2017 08:05:21 : FAM, off-topic, darthbot98#5182, Reloaded
15 Dec 2017 08:05:24 : FAM, off-topic, darth kota#9446, ;search 45
15 Dec 2017 08:05:24 : FAM, off-topic, darthbot98#5182, The Bot isnt connected in this server!
15 Dec 2017 08:05:27 : FAM, off-topic, darth kota#9446, ;join
15 Dec 2017 08:05:27 : FAM, off-topic, darthbot98#5182, Reconnected channel!
15 Dec 2017 08:05:31 : FAM, off-topic, darth kota#9446, ;search 45
15 Dec 2017 08:05:34 : FAM, off-topic, darthbot98#5182, Added Shinedown - 45 [OFFICIAL VIDEO] to the queue
15 Dec 2017 08:05:34 : FAM, off-topic, darthbot98#5182, https://www.youtube.com/watch?v=MLeIyy2ipps
15 Dec 2017 08:05:42 : FAM, off-topic, darth kota#9446, ;pause
15 Dec 2017 08:05:46 : FAM, off-topic, darth kota#9446, ;songs
15 Dec 2017 08:05:46 : FAM, off-topic, darthbot98#5182, 
15 Dec 2017 08:05:52 : FAM, off-topic, darth kota#9446, ;song
15 Dec 2017 08:05:52 : FAM, off-topic, darthbot98#5182, 
15 Dec 2017 08:15:34 : FAM, off-topic, darth kota#9446, ;reload
15 Dec 2017 08:15:34 : FAM, off-topic, darthbot98#5182, Reloaded
15 Dec 2017 08:15:37 : FAM, off-topic, darth kota#9446, ;join
15 Dec 2017 08:15:37 : FAM, off-topic, darthbot98#5182, Reconnected channel!
15 Dec 2017 08:15:40 : FAM, off-topic, darth kota#9446, ;resume
15 Dec 2017 08:15:47 : FAM, off-topic, darth kota#9446, ;songs
15 Dec 2017 08:15:47 : FAM, off-topic, darthbot98#5182, 
15 Dec 2017 08:15:51 : FAM, off-topic, darth kota#9446, ;song
15 Dec 2017 08:15:51 : FAM, off-topic, darthbot98#5182, 
15 Dec 2017 08:15:57 : FAM, off-topic, darth kota#9446, ;search 45
15 Dec 2017 08:15:59 : FAM, off-topic, darthbot98#5182, Added Shinedown - 45 [OFFICIAL VIDEO] to the queue
15 Dec 2017 08:15:59 : FAM, off-topic, darthbot98#5182, https://www.youtube.com/watch?v=MLeIyy2ipps
15 Dec 2017 08:16:06 : FAM, off-topic, darth kota#9446, ;pause
15 Dec 2017 08:16:10 : FAM, off-topic, darth kota#9446, ;resume
15 Dec 2017 08:16:45 : FAM, off-topic, Mee6#4876, GG @darth kota, you just advanced to **level 11** !
15 Dec 2017 08:18:39 : FAM, off-topic, darthbot98#5182, *hugs back*.
15 Dec 2017 08:19:55 : None, Direct Message with darth kota, darth kota#9446, ;topic testing
15 Dec 2017 08:19:55 : None, Direct Message with darth kota, darthbot98#5182, set!
15 Dec 2017 08:20:08 : None, Direct Message with darth kota, darth kota#9446, ;poll1 i
15 Dec 2017 08:20:08 : None, Direct Message with darth kota, darthbot98#5182, set!
15 Dec 2017 08:20:15 : None, Direct Message with darth kota, darth kota#9446, ;poll2 hope
15 Dec 2017 08:20:15 : None, Direct Message with darth kota, darthbot98#5182, set!
15 Dec 2017 08:20:28 : None, Direct Message with darth kota, darth kota#9446, ;poll3 this works
15 Dec 2017 08:20:28 : None, Direct Message with darth kota, darthbot98#5182, set!
15 Dec 2017 08:20:43 : FAM, off-topic, darth kota#9446, ;startpoll
15 Dec 2017 08:20:43 : FAM, off-topic, darthbot98#5182, 
15 Dec 2017 08:20:52 : FAM, off-topic, darth kota#9446, kek'=
15 Dec 2017 08:21:11 : FAM, off-topic, darthbot98#5182, You too.
15 Dec 2017 08:24:29 : FAM, off-topic, darth kota#9446, :highfive:
15 Dec 2017 08:24:38 : FAM, off-topic, darth kota#9446, :hifive:
15 Dec 2017 08:28:33 : FAM, off-topic, darth kota#9446, ;reload
15 Dec 2017 08:28:34 : FAM, off-topic, darthbot98#5182, Reloaded
15 Dec 2017 08:28:46 : FAM, off-topic, darth kota#9446, ;highfive @Mr. Meeseeks
15 Dec 2017 08:28:46 : FAM, off-topic, darthbot98#5182, darth kota highfived @Mr. Meeseeks
15 Dec 2017 08:35:45 : FAM, off-topic, darth kota#9446, ;relog
