17 Dec 2017 07:00:43 : darth, general, darth kota#9446, ;join
17 Dec 2017 07:00:43 : darth, general, darthbot98#5182, Connected channel!
17 Dec 2017 07:00:53 : darth, general, darth kota#9446, ;search twilight zone
17 Dec 2017 07:01:00 : darth, general, darthbot98#5182, Added Golden Earring - Twilight Zone  (Video) to the queue
17 Dec 2017 07:01:00 : darth, general, darthbot98#5182, https://www.youtube.com/watch?v=wIaaBuGNwNw
17 Dec 2017 07:03:56 : darth, general, darth kota#9446, ;relod
17 Dec 2017 07:04:00 : darth, general, darth kota#9446, ;reload\
17 Dec 2017 07:04:02 : darth, general, darth kota#9446, ;reload
17 Dec 2017 07:04:03 : darth, general, darthbot98#5182, Reloaded
17 Dec 2017 07:04:09 : darth, general, darth kota#9446, ;join
17 Dec 2017 07:04:09 : darth, general, darthbot98#5182, Reconnected channel!
17 Dec 2017 07:04:16 : darth, general, darth kota#9446, ;puased
17 Dec 2017 07:04:23 : darth, general, darth kota#9446, ;pause
17 Dec 2017 07:04:36 : darth, general, darth kota#9446, ;pause
17 Dec 2017 07:05:26 : darth, general, darth kota#9446, ;relog
