17 Dec 2017 07:34:15 : darth, general, darth kota#9446, ;pause
17 Dec 2017 07:34:15 : darth, general, darthbot98#5182, The Bot isnt connected in this server!
17 Dec 2017 07:34:19 : darth, general, darth kota#9446, ;join
17 Dec 2017 07:34:19 : darth, general, darthbot98#5182, Connected channel!
17 Dec 2017 07:34:24 : darth, general, darth kota#9446, ;pause
17 Dec 2017 07:34:24 : darth, general, darthbot98#5182, Nothing to pause!
17 Dec 2017 07:34:38 : darth, general, darth kota#9446, ;search twilight zone
17 Dec 2017 07:34:45 : darth, general, darthbot98#5182, Added Golden Earring - Twilight Zone  (Video) to the queue
17 Dec 2017 07:34:45 : darth, general, darthbot98#5182, https://www.youtube.com/watch?v=wIaaBuGNwNw
17 Dec 2017 07:34:53 : darth, general, darth kota#9446, ;pause
17 Dec 2017 07:35:03 : darth, general, darth kota#9446, ;resume
17 Dec 2017 07:47:42 : darth, general, darth kota#9446, ;relog
17 Dec 2017 07:47:43 : darth, general, darthbot98#5182, Relogging...
