17 Dec 2017 07:52:14 : darth, general, darth kota#9446, ;resume
17 Dec 2017 07:52:15 : darth, general, darthbot98#5182, The bot isnt connected to this server!
17 Dec 2017 07:52:19 : darth, general, darth kota#9446, ;join
17 Dec 2017 07:52:20 : darth, general, darthbot98#5182, Connected channel!
17 Dec 2017 07:52:23 : darth, general, darth kota#9446, ;reusme
17 Dec 2017 07:52:29 : darth, general, darth kota#9446, ;resume
17 Dec 2017 07:52:29 : darth, general, darthbot98#5182, Nothing to resume!
17 Dec 2017 07:52:36 : darth, general, darth kota#9446, ;pause
17 Dec 2017 07:52:36 : darth, general, darthbot98#5182, Nothing to pause!
17 Dec 2017 07:52:47 : darth, general, darth kota#9446, ;search twilight zone
17 Dec 2017 07:52:54 : darth, general, darthbot98#5182, Added Golden Earring - Twilight Zone  (Video) to the queue
17 Dec 2017 07:52:54 : darth, general, darthbot98#5182, https://www.youtube.com/watch?v=wIaaBuGNwNw
17 Dec 2017 07:55:27 : darth, general, darth kota#9446, ;relog
